subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
20.0000 1.0000 9.0000 0.0000 4.0000 2 1.0000 1.0000 0.9830 0.0000 12.2536 19.2402 11.5327 10.2469 8.2010 15.6611 -1.0509 9.6350 -0.2782 11.5779 1.4467 11.2804 8.0375 7.8659 11.7367 7.0534 3.6084 11.4615 10.8912 9.6204 0.2147 0.3589 0.2038 0.2505 0.3877 0.2055 0.2884 0.4388 0.2515 0.2788 0.4488 0.4948 0.2186 0.2821 0.3675 0.4016 0.5313 0.5024 0.2042 6.3301 1.4134 2.4008 
20.0000 2.0000 -9.0000 1.0000 3.0000 8 -1.0000 1.0000 0.6910 0.0000 -12.8337 -7.1140 -13.7549 -8.0639 -1.1591 -11.6592 -19.8647 -16.1980 -4.8261 -8.1450 -9.8326 -1.4107 -9.4275 -11.7036 -9.6729 -6.6887 -7.8599 -0.2732 -13.9179 -5.9325 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5565 2.2584 
20.0000 3.0000 9.0000 1.0000 2.0000 2 1.0000 1.0000 0.5820 0.0000 8.1285 6.3753 10.2720 11.5823 7.2007 9.8434 -1.7879 15.0741 -0.5102 11.7357 15.0682 9.9430 9.7298 13.4042 17.1810 6.0365 5.0672 9.7085 13.2242 3.5006 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6585 2.2495 
20.0000 4.0000 -9.0000 1.0000 2.0000 8 -1.0000 1.0000 0.6280 0.0000 -6.7833 -4.6569 -10.1656 -5.2813 0.2634 -0.4188 -6.6341 -9.2044 -7.8154 -15.8867 -13.9569 -16.2391 -11.9796 -16.0701 -2.9613 -8.4855 -10.5898 -5.7104 -11.3280 -15.1227 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6481 2.2786 
20.0000 5.0000 -9.0000 0.0000 3.0000 8 -1.0000 1.0000 0.7170 0.0000 -10.2523 -6.5681 -9.4359 -7.8289 1.5086 -6.4926 -2.8423 -15.2000 -11.2081 -14.5197 -9.4771 -12.7763 -7.0496 -9.8441 -14.8825 -2.7478 -18.2068 -5.8790 -3.3952 -10.9079 0.3283 0.3671 0.2949 0.2479 0.3088 0.4853 0.4060 0.3711 0.4967 0.2680 0.3485 0.2325 0.2689 0.5294 0.2516 0.2785 0.2294 0.3957 0.2260 6.3344 1.6455 2.3675 
20.0000 6.0000 -7.0000 1.0000 2.0000 8 -1.0000 1.0000 0.6230 0.0000 -11.6651 -6.0588 -9.4753 -12.7098 -4.3747 -13.2566 -4.1777 -3.2831 -8.2718 -7.7579 -7.1018 2.5240 -14.1491 -10.2390 -2.3975 -0.8517 -7.8636 -16.1047 -0.2654 -3.5691 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5016 2.1237 
20.0000 7.0000 -7.0000 0.0000 3.0000 8 -1.0000 1.0000 0.8040 0.0000 -2.4774 -17.1373 -3.1199 -19.9808 -5.5795 -5.0114 -2.4832 -5.1365 -6.4925 -10.0028 -3.1157 -8.4919 -5.9814 -7.7949 0.0675 -1.8408 -5.3081 -7.3067 -12.2817 -10.6907 0.2094 0.3094 0.4877 0.2638 0.3131 0.3476 0.2838 0.4361 0.3480 0.2094 0.2870 0.3232 0.4625 0.2228 0.4335 0.3255 0.4360 0.4108 0.2252 6.3348 1.4318 2.2549 
20.0000 8.0000 -5.0000 0.0000 2.0000 8 -1.0000 1.0000 0.5590 0.0000 -9.5880 -4.9589 5.9458 -5.5343 -10.8367 0.4673 -4.3325 -4.5184 -4.1988 -3.4017 -4.7275 2.5823 -5.7711 -4.2380 -6.0966 -19.4236 -7.9850 -3.8309 -3.0093 -5.1472 0.2348 0.4286 0.2167 0.5077 0.3021 0.2036 0.4260 0.3245 0.3941 0.2500 0.3616 0.2153 0.2737 0.4557 0.3968 0.4228 0.3594 0.2934 0.2655 6.3322 1.5829 2.1599 
20.0000 9.0000 3.0000 1.0000 8.0000 8 -1.0000 0.0000 2.4860 0.0000 1.7450 11.0272 -2.5787 9.2986 1.7116 6.6639 10.5029 7.6488 0.7092 -4.3590 2.5203 -5.7718 9.3436 7.2613 0.3483 -1.2550 0.6458 0.3491 1.0984 2.2252 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5321 4.0366 
20.0000 10.0000 3.0000 1.0000 4.0000 8 -1.0000 0.0000 1.2820 0.0000 -0.4615 0.5062 -0.4869 6.8321 14.1958 -3.5197 -1.1990 9.7676 0.7584 3.6619 -1.0644 0.3532 5.6543 3.5089 3.7877 11.0307 -4.4447 6.3166 -2.2935 7.1672 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6713 2.9659 
