subNo index block level mean periodicity nEvents pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
20.0000 45.0000 1.0000 -1.0000 -2.3000 1.0000 4.0000 8 -1.0000 1.0000 1.3080 -2.1598 1.5694 -6.5953 -9.1952 7.5491 1.8457 1.0499 0.6572 -5.7791 -9.2430 -2.3125 -10.3277 -4.1909 -0.0238 -4.5850 -5.8523 -1.1440 -0.8972 -3.2139 7.4869 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6054 2.9250 
20.0000 57.0000 1.0000 -4.0000 -9.2000 1.0000 3.0000 8 -1.0000 1.0000 0.8360 -4.4204 -6.2278 -5.1385 -12.0815 -11.5869 -12.4090 -8.4785 -5.2395 -14.5433 -18.0158 -1.3114 -10.6118 -6.7803 -19.8876 -10.7098 -14.3067 -3.8779 -8.0794 -9.0594 -3.0972 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4862 2.3364 
20.0000 49.0000 1.0000 4.0000 9.2000 1.0000 3.0000 2 1.0000 1.0000 0.9560 4.6776 17.1525 13.6732 2.5828 7.1402 9.8974 15.5120 17.1363 3.4422 13.0761 4.1278 2.9054 11.9669 12.6096 7.9985 8.9457 4.2591 12.9454 3.4289 11.7226 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6243 2.5903 
20.0000 19.0000 1.0000 1.0000 2.3000 1.0000 4.0000 2 1.0000 1.0000 1.2290 1.0369 8.3916 3.2309 3.8428 -5.2833 -4.5692 4.1666 1.2533 7.8958 2.5840 4.1150 4.5096 -0.8866 -5.1042 6.5867 -5.1369 -4.0531 8.9706 7.2526 8.1491 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6621 2.8969 
20.0000 52.0000 1.0000 -1.0000 -2.3000 0.0000 6.0000 8 -1.0000 1.0000 1.8200 -3.9482 2.7304 -13.9330 -5.7772 -4.2055 -5.5804 2.6455 -0.2888 1.8054 -8.1146 -11.4425 -1.5804 3.6546 0.9521 3.3087 2.4762 -4.4664 -1.8569 -2.2818 -1.4818 0.2442 0.3526 0.2720 0.3738 0.2044 0.4517 0.3833 0.3338 0.4588 0.2100 0.3840 0.2856 0.3686 0.3307 0.2241 0.4670 0.3628 0.2286 0.3950 6.3311 1.6273 3.4541 
20.0000 36.0000 1.0000 -4.0000 -9.2000 0.0000 4.0000 8 -1.0000 1.0000 1.1180 -5.1436 -19.5845 -8.7727 -7.6141 -11.8569 -10.9404 -7.1031 -12.9225 -3.3868 -8.9688 -9.4655 -17.1464 -6.7004 -7.4903 -6.5854 -4.2425 -10.3844 -19.7892 -5.1148 -1.3909 0.4625 0.2861 0.3339 0.2144 0.3404 0.3063 0.3929 0.4708 0.2513 0.4408 0.5318 0.3309 0.2018 0.2797 0.2342 0.3832 0.2038 0.3083 0.3587 6.3319 1.4380 2.5690 
20.0000 56.0000 1.0000 4.0000 9.2000 0.0000 5.0000 2 1.0000 1.0000 1.5810 4.2609 4.7546 11.6493 8.8430 6.6512 5.5506 12.9565 7.1031 12.1933 13.9200 16.9802 17.3544 1.2191 11.2728 9.0763 11.8518 15.5198 11.0841 3.0067 0.0330 0.3787 0.4346 0.4079 0.2604 0.3597 0.2834 0.5022 0.2056 0.2893 0.2475 0.5262 0.2066 0.4636 0.2575 0.3630 0.4000 0.2475 0.2187 0.2656 6.3180 1.5966 3.1814 
20.0000 66.0000 1.0000 -1.0000 -2.3000 0.0000 5.0000 8 -1.0000 1.0000 1.5030 -7.0433 -2.5990 -6.3501 -6.9219 -1.2618 -6.0323 -4.7482 -2.2612 -1.1677 -7.3915 -0.9510 5.1349 -8.8138 9.1611 4.3272 3.5068 -4.2935 1.2979 -7.7499 -2.4137 0.3699 0.2136 0.2620 0.3695 0.4936 0.2149 0.4900 0.2473 0.4181 0.2680 0.4453 0.3556 0.2965 0.3597 0.2601 0.3316 0.2096 0.4569 0.2642 6.3265 1.4212 2.9367 
20.0000 29.0000 1.0000 -4.0000 -9.2000 1.0000 4.0000 8 -1.0000 1.0000 1.1510 -8.3402 -10.5273 -6.7896 -16.0950 -17.7698 -12.1462 -12.7686 0.1862 -11.6258 -13.1853 -0.7203 -3.7139 -8.1592 -11.6002 -12.0164 -2.7389 -8.0800 -3.0466 -10.0938 -14.7518 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6806 2.8349 
20.0000 9.0000 1.0000 -2.0000 -4.6000 0.0000 4.0000 8 -1.0000 1.0000 1.3140 -5.3194 -6.9591 -8.9112 3.2148 1.1107 -10.7245 -3.1378 -1.0566 -13.8216 -13.4099 1.7517 -5.1719 2.7040 1.3199 -7.7735 -4.7980 -5.8354 -4.6489 -6.5810 -4.4774 0.3225 0.2161 0.4927 0.4597 0.2923 0.2580 0.2310 0.3196 0.3992 0.2003 0.3082 0.2487 0.5231 0.2003 0.4318 0.3989 0.2478 0.4330 0.3456 6.3287 1.6142 2.9316 
