subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
7.0000 1.0000 9.0000 0.0000 8.0000 8 1.0000 1.0000 2.8030 0.0000 4.6454 -0.8240 6.3779 15.2867 3.0773 13.3930 11.8853 7.2485 15.2088 6.9730 7.1635 8.8668 6.5044 21.8488 9.1600 7.4726 6.0757 10.6917 6.7821 11.3520 0.2628 0.3722 0.4817 0.3477 0.4769 0.3444 0.3190 0.2071 0.2676 0.2064 0.3676 0.2395 0.3696 0.3264 0.2174 0.3632 0.4748 0.3024 0.3747 6.3216 1.4416 4.2539 
7.0000 2.0000 9.0000 1.0000 7.0000 8 1.0000 1.0000 2.1380 0.0000 6.7224 16.1679 6.0651 -0.9262 4.4935 12.3914 18.4371 15.5146 9.6780 4.0973 5.7255 6.4579 8.8481 7.5024 4.0697 17.5904 12.1193 9.5589 10.6750 5.6037 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6708 3.8222 
7.0000 3.0000 9.0000 1.0000 6.0000 8 1.0000 1.0000 1.8800 0.0000 6.4927 -0.7106 20.7203 9.6560 10.1014 10.1926 8.1003 12.2251 11.0156 0.2327 10.9122 6.2939 10.0915 8.2254 13.6339 12.2800 4.5390 1.3578 13.5466 10.1591 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6046 3.4975 
7.0000 4.0000 -9.0000 1.0000 6.0000 2 -1.0000 1.0000 1.6700 0.0000 -4.2700 -13.7428 2.5653 -9.2374 -13.5412 -11.0930 -10.0424 -7.7484 -5.4156 -6.7909 -9.1134 -0.6826 -8.8948 -8.4822 -11.7101 -10.8072 -16.5060 -13.7562 -3.5727 -17.7057 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4929 3.1713 
7.0000 5.0000 9.0000 0.0000 5.0000 8 1.0000 1.0000 1.4990 0.0000 6.9234 6.8448 5.4063 5.9799 0.4233 13.5660 9.7976 7.2536 8.3462 2.4492 10.3524 15.1282 6.0351 13.5469 8.0640 3.6139 20.3608 11.5548 7.7111 17.2030 0.2026 0.3453 0.3193 0.4680 0.2214 0.3848 0.2558 0.2009 0.5269 0.4678 0.3489 0.2189 0.2937 0.2589 0.3039 0.5242 0.2477 0.2121 0.5304 6.3314 1.4219 2.9331 
7.0000 6.0000 7.0000 0.0000 3.0000 8 1.0000 1.0000 1.0210 0.0000 6.9790 16.7156 1.9195 1.0123 8.6157 0.0091 15.9500 11.9851 1.0727 12.5473 8.4198 2.6648 1.2321 7.8811 5.3689 2.8580 11.9822 5.9769 9.4005 8.3675 0.2090 0.4006 0.4699 0.4245 0.2587 0.2918 0.4923 0.3229 0.2630 0.3922 0.4493 0.2018 0.2478 0.2807 0.4070 0.2011 0.3190 0.2282 0.4739 6.3336 1.4645 2.4884 
7.0000 7.0000 -5.0000 1.0000 4.0000 2 -1.0000 1.0000 1.0370 0.0000 -2.5610 -7.3883 -11.2445 0.3809 1.9800 -4.7739 -6.3493 -3.9088 0.0585 -4.7166 -6.1580 -11.8760 5.4124 -0.7767 -5.9855 -14.6972 -10.9443 -4.3681 -1.9460 -8.9358 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7132 2.7541 
7.0000 8.0000 5.0000 1.0000 5.0000 8 1.0000 1.0000 1.3930 0.0000 5.3710 4.7379 7.4901 3.0422 6.1765 12.7125 11.2545 0.8784 -1.3719 -4.5731 3.7893 11.7548 2.9234 5.1514 9.5081 7.1250 9.2447 -4.9022 3.5356 7.5175 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6954 3.0941 
7.0000 9.0000 -5.0000 0.0000 4.0000 2 -1.0000 1.0000 1.1950 0.0000 -4.1961 -6.0422 -10.9696 -3.4390 -3.1948 -5.2284 -1.2674 -1.4019 -3.2856 -5.2652 -11.7738 1.4756 -6.3424 -15.3699 4.0737 1.0771 -11.0849 -9.9563 -7.2108 -2.2051 0.4557 0.2737 0.2147 0.4205 0.2019 0.2555 0.4991 0.4328 0.2948 0.3754 0.2852 0.3534 0.4693 0.2745 0.4882 0.2482 0.2057 0.3094 0.2629 6.3209 1.6777 2.8794 
7.0000 10.0000 3.0000 0.0000 6.0000 8 1.0000 1.0000 2.0210 0.0000 5.1972 -5.6054 6.7098 4.0638 3.1084 8.0442 -10.3918 6.8517 5.2717 -0.6932 2.3169 -2.9676 2.9973 3.1084 2.9392 6.2232 12.4740 4.1106 4.1114 3.6921 0.4775 0.2442 0.4242 0.2923 0.4236 0.3177 0.2585 0.3245 0.3890 0.2354 0.5254 0.2066 0.2470 0.2830 0.3263 0.3743 0.4298 0.3416 0.2005 6.3214 1.6665 3.6884 
