subNo index block level mean periodicity nEvents pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
10.0000 23.0000 1.0000 -2.0000 -3.2100 0.0000 8.0000 8 -1.0000 1.0000 2.5680 -5.0720 5.0368 -10.5273 -5.9471 -3.1332 -10.7010 -6.5088 -0.6574 -1.2541 -5.2456 -5.9177 8.6694 -8.9595 -2.5425 -6.4108 1.7393 0.4145 -3.3284 0.0149 -4.8946 0.4904 0.3921 0.3202 0.2083 0.3312 0.4485 0.2958 0.2077 0.3895 0.3515 0.4820 0.3909 0.2577 0.3186 0.2282 0.4147 0.2134 0.3497 0.2357 6.3261 1.6525 4.2183 
10.0000 68.0000 1.0000 1.0000 1.6050 0.0000 9.0000 2 1.0000 1.0000 2.5740 -0.4919 -5.5373 -2.8333 -5.5536 0.5433 2.0190 9.1854 6.5425 -2.9350 -4.2365 5.9126 9.3815 2.7860 -4.4211 2.1499 4.8745 5.8201 7.0532 3.9646 -2.4673 0.3388 0.3136 0.2716 0.2266 0.2655 0.3604 0.2362 0.4046 0.3075 0.2539 0.4314 0.5322 0.2384 0.3410 0.2902 0.4869 0.5172 0.3043 0.2057 6.3262 1.4954 4.0912 
10.0000 57.0000 1.0000 -4.0000 -6.4200 1.0000 4.0000 8 -1.0000 1.0000 1.1040 -6.0974 -10.1357 -9.3355 -17.0428 -6.4718 -7.5638 -6.2705 -0.8058 -5.2821 -2.6889 -8.5096 -0.8134 0.9559 -12.8905 -8.0835 -13.3943 -0.8552 -4.2752 -10.5261 -0.1245 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6928 2.8044 
10.0000 63.0000 1.0000 4.0000 6.4200 1.0000 3.0000 2 1.0000 1.0000 0.9760 9.5980 -1.3768 4.7131 10.7997 2.4520 7.0092 7.0540 8.5556 12.2268 4.5493 1.3091 8.4263 -0.0929 8.4090 9.7020 -0.0178 13.7703 16.6941 6.4396 0.0785 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6417 2.6266 
10.0000 5.0000 1.0000 1.0000 1.6050 1.0000 5.0000 2 1.0000 1.0000 1.4230 1.1398 0.6815 10.1754 2.6801 6.5458 0.2169 -4.3663 -8.7174 1.9097 4.3889 8.8270 -4.5122 -2.1917 9.1866 -1.9636 1.8550 -1.6325 4.8007 4.7618 -1.0375 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4119 2.8406 
10.0000 54.0000 1.0000 1.0000 1.6050 0.0000 8.0000 2 1.0000 1.0000 2.5720 -0.2189 0.2762 -1.9505 -3.3065 2.5295 -4.5523 9.1464 3.8853 6.4209 -2.7761 -7.4027 6.0565 3.4954 -0.4179 -6.9247 6.6831 8.7357 7.0641 0.8776 4.3472 0.4339 0.2313 0.3837 0.2702 0.4410 0.2571 0.3158 0.4804 0.2565 0.4477 0.2954 0.4571 0.2431 0.4111 0.2592 0.3285 0.2746 0.2483 0.2881 6.3231 1.4267 4.0062 
10.0000 55.0000 1.0000 2.0000 3.2100 0.0000 5.0000 2 1.0000 1.0000 1.5670 3.5251 5.0450 4.4261 0.5339 0.9709 8.9751 11.3598 7.8369 1.3079 -2.5872 8.6644 2.9605 5.3507 0.1184 0.8009 3.1191 -8.6467 2.9175 11.7333 -3.3527 0.2328 0.5264 0.2828 0.2023 0.4030 0.3187 0.2880 0.2609 0.3108 0.3582 0.4340 0.5041 0.2211 0.2714 0.3230 0.3992 0.2905 0.2521 0.4447 6.3241 1.7250 3.3011 
10.0000 60.0000 1.0000 0.0000 0.0000 1.0000 14.0000 8 -1.0000 1.0000 4.3310 2.5879 -0.7985 1.7106 -6.5633 -6.7030 8.1926 0.2471 1.9274 -4.1213 -3.4421 6.2724 -8.8999 -7.5744 -1.3631 2.9025 1.8426 3.5478 4.5895 -2.0064 7.1720 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5883 5.9320 
10.0000 35.0000 1.0000 4.0000 6.4200 1.0000 3.0000 2 1.0000 1.0000 0.9740 10.2707 10.2691 3.4682 5.2354 5.7669 12.4048 16.9662 -4.1361 -1.8781 10.2338 5.1397 9.0146 10.4462 1.3295 5.8780 7.2224 3.7877 5.3488 11.0050 2.4600 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6767 2.6578 
10.0000 20.0000 1.0000 2.0000 3.2100 1.0000 4.0000 2 1.0000 1.0000 1.1170 -0.2439 10.9564 1.0875 2.5354 -0.0255 8.7068 6.1236 4.3799 6.1339 8.1595 5.7334 -0.7267 -2.6593 9.2817 7.8252 -4.1064 -6.2028 7.9168 -2.0463 0.3598 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6369 2.7675 
10.0000 22.0000 1.0000 -4.0000 -6.4200 0.0000 3.0000 8 -1.0000 1.0000 0.6690 -8.6140 -1.2829 -1.9162 -5.9975 -0.9943 -17.0112 -3.5765 -16.0032 -4.7773 -12.0483 0.0210 -0.4902 -7.9388 -11.3402 -3.3458 -5.5239 -4.8591 -5.0652 -12.2203 -6.9099 0.2482 0.3281 0.2531 0.2030 0.3440 0.4628 0.2781 0.2067 0.2912 0.2595 0.4283 0.4823 0.2134 0.3282 0.3860 0.4194 0.5056 0.3954 0.2867 6.3202 1.6209 2.2863 
10.0000 51.0000 1.0000 -2.0000 -3.2100 0.0000 5.0000 8 -1.0000 1.0000 1.6440 -5.7181 -2.0871 0.5817 -5.8375 -1.6642 -6.1322 -12.0842 -6.1870 3.3903 -11.3948 -5.7769 -0.5837 1.6956 -0.7280 -6.0769 -7.2282 0.3857 -7.2899 7.2700 1.4953 0.3328 0.4727 0.3634 0.4006 0.2292 0.3339 0.4344 0.3192 0.2882 0.5105 0.2651 0.2073 0.3340 0.2502 0.2106 0.2989 0.2608 0.3726 0.4379 6.3222 1.6814 3.3281 
10.0000 61.0000 1.0000 1.0000 1.6050 1.0000 8.0000 2 1.0000 1.0000 2.3370 -0.4347 -3.9058 -3.7113 4.1461 2.7969 0.6843 2.1315 2.9200 0.8178 8.8850 11.7183 -1.1394 -1.0292 7.6508 -8.5213 4.8266 3.8731 -1.0401 6.8141 -4.2631 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7280 4.0707 
10.0000 21.0000 1.0000 4.0000 6.4200 1.0000 3.0000 2 1.0000 1.0000 0.9690 8.0978 4.1731 3.9137 3.4331 9.2525 7.5205 8.7473 11.7508 15.8485 0.3829 2.2027 7.9211 9.2039 1.5408 -2.7525 2.5817 0.4079 6.8527 10.3842 15.6348 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6093 2.5866 
10.0000 10.0000 1.0000 -1.0000 -1.6050 0.0000 12.0000 8 -1.0000 1.0000 3.9110 3.0644 -0.6074 3.3408 -0.6402 -3.3779 -6.2413 3.3030 -1.7462 -10.0926 3.4570 -7.3476 3.6250 -9.0009 -2.8643 -9.3526 4.5169 -1.2790 -2.3355 -3.3495 5.2998 0.2405 0.4639 0.3780 0.4469 0.2007 0.2780 0.4319 0.3937 0.5280 0.2540 0.2283 0.4382 0.3901 0.2065 0.3212 0.2054 0.3452 0.2563 0.3283 6.3351 1.6509 5.5787 
10.0000 36.0000 1.0000 -4.0000 -6.4200 0.0000 3.0000 8 -1.0000 1.0000 0.7080 -9.3393 -8.7540 -2.4074 -7.9739 -3.4856 -0.8057 -9.2118 -14.0259 -9.8150 -3.0300 -4.2970 4.6458 -1.2682 -11.0214 -14.6570 -9.0004 0.3819 -6.4716 -12.0275 -5.8771 0.2371 0.3410 0.3102 0.3896 0.3348 0.2966 0.3221 0.3583 0.2281 0.3513 0.4233 0.2503 0.4411 0.2135 0.2486 0.5027 0.3800 0.2371 0.4683 6.3341 1.4174 2.1422 
10.0000 34.0000 1.0000 2.0000 3.2100 1.0000 4.0000 2 1.0000 1.0000 1.3170 0.6564 8.6119 2.6325 6.6685 -5.3500 0.2672 5.1760 -0.5410 7.3523 4.9232 -1.1338 2.1485 -1.0638 0.3484 9.2572 1.6468 4.5569 5.5059 15.6676 -4.5236 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6277 2.9509 
10.0000 67.0000 1.0000 0.0000 0.0000 0.0000 12.0000 2 1.0000 1.0000 4.0580 -4.7425 -3.7637 -5.2296 5.2497 4.5048 -0.9971 5.7858 -1.5655 5.6246 -5.0094 4.1546 10.0601 1.9934 -5.3330 -6.2607 3.3353 -4.6138 2.0286 -0.6487 -5.5221 0.2950 0.4382 0.5033 0.3225 0.2138 0.4345 0.2187 0.3158 0.4385 0.3620 0.2241 0.3117 0.2856 0.2282 0.2768 0.3567 0.4220 0.4861 0.2015 6.3351 1.6427 5.7090 
10.0000 66.0000 1.0000 -1.0000 -1.6050 0.0000 10.0000 8 -1.0000 1.0000 2.9940 0.9587 -2.2974 -6.4010 2.3787 -5.1732 -8.8723 -7.7330 -4.7900 0.2191 4.3434 -7.3628 -5.8525 -2.0271 6.1663 8.6686 -0.5835 -5.2743 0.1513 3.3017 -2.9812 0.2557 0.4067 0.3709 0.3266 0.2193 0.4204 0.2898 0.2343 0.2979 0.3718 0.2757 0.3651 0.2036 0.5042 0.4236 0.2526 0.4828 0.2693 0.3542 6.3242 1.4375 4.4448 
10.0000 4.0000 1.0000 0.0000 0.0000 1.0000 15.0000 8 -1.0000 0.0000 4.7150 -3.0606 -5.2711 4.6751 4.7489 -8.3824 1.0718 4.4063 -6.4041 2.4631 1.4796 -0.9578 -3.1499 -10.0044 9.1108 2.3625 4.1228 1.4673 -1.7310 6.0496 -2.6770 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6198 6.3495 
