subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
13.0000 1.0000 -9.0000 0.0000 6.0000 2 -1.0000 1.0000 2.1190 0.0000 -13.2024 1.1820 -6.7955 -5.1288 -8.5745 -7.9947 -9.7511 -17.2775 -12.1908 -5.3088 -9.8912 -10.3276 -15.1301 -1.0999 -16.8470 -7.4489 -7.7979 -14.3213 -8.0014 -3.6012 0.3057 0.3585 0.4318 0.4775 0.2404 0.3841 0.3178 0.4453 0.2255 0.2003 0.4514 0.2746 0.2275 0.4315 0.2198 0.3754 0.2669 0.4594 0.2367 6.3299 1.4017 3.5363 
13.0000 2.0000 9.0000 1.0000 4.0000 8 1.0000 1.0000 1.2940 0.0000 12.4698 6.8270 4.7238 5.3321 11.0437 7.9408 9.5562 10.7864 6.9865 12.3826 -1.4613 7.7511 18.4292 1.5434 6.8243 5.9561 20.1118 10.0877 13.6448 7.5678 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4416 2.7444 
13.0000 3.0000 -9.0000 0.0000 5.0000 2 -1.0000 1.0000 1.4300 0.0000 -9.2627 -5.2078 -7.8356 -9.1675 -9.2887 -22.6393 -2.6882 -12.7846 -0.3379 -10.5621 -7.9158 -6.3859 -5.9183 -16.6343 -8.4358 -10.7214 -13.5635 -4.3713 -7.9807 -7.7002 0.2232 0.2558 0.3230 0.3928 0.3490 0.2432 0.2751 0.3892 0.3587 0.3187 0.3712 0.4148 0.3249 0.3782 0.3192 0.2819 0.5016 0.3580 0.2447 6.3232 1.7251 3.1639 
13.0000 4.0000 7.0000 0.0000 4.0000 8 1.0000 1.0000 1.0750 0.0000 5.7758 8.0645 15.5577 3.5160 -0.6256 18.2565 9.0179 9.4243 0.1477 7.9245 0.7399 11.7414 -0.5789 9.6370 3.3546 6.4776 7.6812 5.8881 10.4873 8.7654 0.2388 0.3081 0.3469 0.4389 0.2840 0.4644 0.2670 0.4136 0.2237 0.2754 0.2213 0.2856 0.2548 0.2845 0.3505 0.3232 0.4228 0.5214 0.3978 6.3225 1.6650 2.7421 
13.0000 5.0000 -5.0000 0.0000 7.0000 2 -1.0000 1.0000 2.1190 0.0000 -1.2916 -15.6880 0.0542 -3.7504 -11.4508 -6.4798 -7.6232 -8.9875 -3.8991 -1.0502 -5.5824 -0.7795 -2.4211 -0.7989 -5.6882 -2.3584 5.3967 -11.1560 -4.1102 -10.6784 0.2557 0.3172 0.5081 0.2656 0.3058 0.4290 0.2329 0.2033 0.4513 0.5289 0.2109 0.4248 0.2737 0.3429 0.4315 0.2566 0.2894 0.2434 0.3544 6.3254 1.5316 3.6528 
13.0000 6.0000 -3.0000 1.0000 6.0000 2 -1.0000 1.0000 1.7030 0.0000 -5.8282 -2.4048 -3.4672 -13.3420 -5.7896 1.8185 -6.0269 -7.3149 2.5785 7.2972 -6.4422 -2.7096 -2.7827 -3.2700 -2.1075 -2.4450 -10.0459 -1.1029 6.1731 -4.6406 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4395 3.1538 
13.0000 7.0000 -3.0000 1.0000 9.0000 2 -1.0000 1.0000 2.8500 0.0000 -1.4737 -2.6872 0.4088 -11.0494 -1.2963 -8.3956 -1.1821 -5.3038 -10.9203 -0.3206 5.2885 -1.2274 -2.7281 5.8542 -0.5581 -1.8807 0.6481 -5.4296 -12.4524 -5.0740 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4476 4.3010 
13.0000 8.0000 -3.0000 1.0000 13.0000 2 -1.0000 1.0000 4.0120 0.0000 1.8431 -3.1920 -3.9589 2.8272 -16.2918 0.7154 0.9779 -5.5564 -7.7148 1.5184 -0.9088 -6.8241 -0.3532 -7.7692 -2.5581 -8.2198 -0.1308 -5.3356 -3.2068 4.3617 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6988 5.7130 
13.0000 9.0000 -3.0000 0.0000 10.0000 2 -1.0000 1.0000 3.4710 0.0000 0.3566 -3.1137 -5.5354 -1.1367 6.0339 -4.9323 -3.5148 -7.5207 2.6475 -7.9438 -9.4847 5.1745 -3.1862 -8.7576 -3.8526 5.7124 -2.0447 -6.9340 -3.0884 -10.1937 0.2843 0.2128 0.3444 0.4420 0.2135 0.2506 0.4198 0.5249 0.2617 0.5232 0.2976 0.3786 0.3046 0.2234 0.3772 0.2426 0.2963 0.2398 0.4817 6.3192 1.5077 4.9887 
13.0000 10.0000 -1.0000 0.0000 8.0000 2 -1.0000 1.0000 2.7150 0.0000 -5.5712 -11.8942 2.7463 -4.8917 -4.8004 -7.7940 -5.6576 0.5134 -0.3251 -1.7010 -3.7497 -3.1256 5.7819 -1.3377 5.1166 0.8087 4.1860 1.3738 7.2043 1.1832 0.4635 0.3735 0.2452 0.4150 0.2430 0.2874 0.2039 0.5076 0.4159 0.4971 0.3874 0.2312 0.2826 0.3193 0.2560 0.2980 0.2325 0.4223 0.2500 6.3312 1.4853 4.2160 
