subNo index block level mean periodicity nEvents pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
5.0000 15.0000 1.0000 -4.0000 -10.7000 1.0000 4.0000 2 -1.0000 1.0000 1.3000 -13.5093 -15.2733 -14.1138 -7.5041 -19.4290 -15.9516 -6.3642 -2.6373 -10.2715 -12.0675 -4.0347 -7.2127 -21.9597 -6.4697 -8.9891 -9.2812 -10.4007 -14.2561 -5.1520 -9.7275 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6189 2.9342 
5.0000 44.0000 1.0000 -2.0000 -5.3500 1.0000 8.0000 2 -1.0000 1.0000 2.3360 -8.7132 -4.2747 -10.4056 -3.2086 -7.5149 -12.0120 -8.0675 -5.1069 2.8925 -5.2821 -2.2236 -0.7931 2.3009 -8.6202 -3.4682 -6.8973 -7.5069 -12.5099 -9.8989 5.4242 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7116 4.0536 
5.0000 38.0000 1.0000 -1.0000 -2.6750 0.0000 16.0000 8 1.0000 0.0000 5.1330 -2.0492 -0.9782 1.1024 -7.8143 -9.6288 -1.8355 -8.5329 -2.4867 1.1192 -1.4809 -11.8725 -4.9014 -3.8761 4.0664 -3.0401 -0.7156 -8.9795 -2.5522 3.5312 8.1357 0.2896 0.3823 0.3388 0.2956 0.2070 0.4806 0.3541 0.2676 0.4175 0.2605 0.4301 0.3311 0.3630 0.3083 0.2002 0.4125 0.2538 0.4783 0.2525 6.3233 1.6601 6.8001 
5.0000 32.0000 1.0000 0.0000 0.0000 1.0000 6.0000 8 1.0000 1.0000 1.9080 -1.0602 6.2699 -3.3925 1.9989 1.0875 -11.1873 4.5683 -1.3122 3.2281 1.7653 -2.0220 -5.2660 8.3963 -4.4624 -1.5621 8.2601 -0.4247 0.5683 2.5590 -8.1265 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6125 3.5250 
5.0000 29.0000 1.0000 -4.0000 -10.7000 1.0000 4.0000 2 -1.0000 1.0000 1.2630 -13.6284 -23.0844 -2.8414 -8.5938 -13.2613 -15.9473 -14.8282 -18.6198 -7.7213 -10.8184 -9.3949 -8.5501 -5.8384 -7.6244 -13.1066 -7.1377 -10.5125 -4.1601 -12.0150 -7.7689 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5901 2.8472 
5.0000 69.0000 1.0000 2.0000 5.3500 0.0000 5.0000 8 1.0000 1.0000 1.3220 3.7314 6.3620 -2.2305 9.1952 -0.5964 9.0055 10.6304 1.2583 3.9512 -4.2190 -0.6610 12.7128 6.0998 5.4108 14.6586 6.7911 4.9541 9.5974 4.4084 4.9860 0.2024 0.2353 0.4124 0.2171 0.4535 0.3933 0.2866 0.2519 0.3830 0.3534 0.2069 0.2654 0.3733 0.2976 0.5312 0.4898 0.3148 0.4537 0.2083 6.3301 1.4316 2.7724 
5.0000 45.0000 1.0000 -1.0000 -2.6750 1.0000 8.0000 2 -1.0000 1.0000 2.5370 0.5882 -0.4292 -0.5440 -6.0332 -10.1629 -6.4996 -14.6607 -5.3546 2.3634 -0.0108 0.5846 -3.7982 -4.6244 6.5834 -5.5963 1.4965 -1.8953 4.3794 -3.3244 -5.5151 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5665 4.1209 
5.0000 28.0000 1.0000 4.0000 10.7000 0.0000 4.0000 8 1.0000 1.0000 1.1850 11.2326 1.4619 18.1573 6.9338 11.9616 13.9638 11.5533 9.5734 6.1580 19.4372 13.3044 10.4606 7.7384 17.0213 3.5326 14.6101 6.1513 7.5090 7.6425 16.6143 0.2705 0.4052 0.2172 0.4374 0.3816 0.2715 0.2012 0.3436 0.3081 0.4170 0.2251 0.3185 0.5158 0.3080 0.4494 0.2953 0.2560 0.4683 0.2444 6.3343 1.4137 2.6189 
5.0000 34.0000 1.0000 2.0000 5.3500 1.0000 6.0000 8 1.0000 1.0000 1.8700 4.0386 1.6790 4.7783 -0.2299 6.5140 10.7532 5.9250 7.1567 7.1782 0.9399 9.2048 -1.4269 3.1800 3.9961 14.9202 -5.3607 12.6923 6.8871 4.6709 11.3224 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7201 3.6045 
5.0000 4.0000 1.0000 0.0000 0.0000 1.0000 7.0000 8 1.0000 0.0000 2.3270 1.0597 1.3756 -5.2717 7.6870 0.5496 -6.2882 -6.8930 -4.5107 -5.0219 1.5241 -2.8534 -1.4612 -5.7635 7.6094 -0.8024 0.3491 10.2417 2.7231 2.1019 3.6439 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6237 3.9607 
