subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
5.0000 1.0000 -9.0000 1.0000 6.0000 2 -1.0000 1.0000 1.7410 0.0000 -12.1359 -11.2976 -8.3193 -6.2982 -18.4144 -16.4082 -7.3205 -8.5735 -2.9623 -10.4415 -3.4011 -11.8088 -17.4588 -8.8898 -6.4736 -10.8027 2.4053 -7.9609 -7.6844 -4.8922 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5038 3.2422 
5.0000 2.0000 -9.0000 0.0000 11.0000 2 -1.0000 1.0000 3.5130 0.0000 -6.0918 -18.4013 -7.1072 -10.6817 -11.5370 -9.0843 -4.6499 -11.3615 -6.3765 -9.6726 -12.2070 -7.4303 -12.0715 -11.8321 -7.8453 4.9707 -8.4839 -7.9982 -18.0383 -4.7355 0.2286 0.3686 0.4696 0.3873 0.3550 0.3117 0.2088 0.3893 0.2200 0.4685 0.2249 0.2724 0.2301 0.2010 0.4349 0.2922 0.4676 0.3168 0.4828 6.3301 1.6520 5.1640 
5.0000 3.0000 -9.0000 1.0000 15.0000 2 -1.0000 1.0000 4.7070 0.0000 -10.8744 -7.7291 -10.9766 -3.7429 -14.4262 -15.0288 -6.1527 -6.0095 -13.7009 -0.5507 -12.4606 -11.8962 -13.8264 -10.7588 -4.1579 -9.8828 -7.9871 -4.0939 -15.6902 1.7668 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6594 6.3911 
5.0000 4.0000 -9.0000 0.0000 16.0000 8 1.0000 0.0000 5.2490 0.0000 -10.7468 -11.5869 -20.6631 -4.5077 -9.6600 -11.1452 2.7457 -11.2680 -7.0429 -13.8751 -6.9972 -3.9424 -11.9260 -8.1630 -10.2240 -10.8466 -6.3822 -14.2224 -5.4941 -3.3851 0.2694 0.4894 0.3209 0.4359 0.2557 0.4290 0.2053 0.3246 0.3724 0.2045 0.2665 0.4107 0.3328 0.2843 0.3299 0.4375 0.3791 0.3091 0.2632 6.3202 1.4585 6.7166 
5.0000 5.0000 -9.0000 1.0000 11.0000 8 1.0000 0.0000 3.4840 0.0000 -5.7128 -11.2548 -5.0929 -8.7300 -7.6941 -9.8742 -2.7851 -16.3815 -6.8199 -11.9536 -7.0618 -1.4971 -15.6571 -15.9793 -15.6378 -15.6350 -9.7419 -1.3486 -1.7342 -8.9529 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7079 5.2015 
5.0000 6.0000 9.0000 1.0000 7.0000 8 1.0000 1.0000 2.2900 0.0000 8.9845 6.3155 11.2607 17.1245 8.0305 13.0732 7.3576 1.9924 14.7776 3.1770 9.3248 6.6317 14.5262 -2.1054 17.1240 9.3991 5.2691 7.9094 7.3534 11.2033 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5217 3.8238 
5.0000 7.0000 -9.0000 0.0000 8.0000 2 -1.0000 1.0000 2.3940 1.0000 -12.2941 -8.4547 -9.5833 -5.0944 -15.5730 -6.7218 -16.7302 -9.5480 -17.1628 -12.1600 -4.5116 -2.6980 -3.6652 -10.8551 -8.6651 -0.5477 -4.3663 -13.2451 -12.7451 -3.5723 0.4404 0.3199 0.2525 0.3117 0.3482 0.2332 0.3723 0.2664 0.3946 0.2371 0.3729 0.2561 0.3226 0.4192 0.2559 0.4265 0.4564 0.2996 0.3382 6.3238 1.4113 3.8112 
5.0000 8.0000 8.6700 1.0000 6.0000 8 1.0000 1.0000 1.8800 1.0000 8.3211 3.6046 12.3753 4.9983 3.7709 5.9382 10.8112 11.0982 8.4173 5.7980 6.7740 9.4902 -3.0111 7.7386 7.9403 18.6722 14.2654 5.4589 16.9795 13.1188 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5219 3.4144 
5.0000 9.0000 -8.6700 0.0000 11.0000 2 -1.0000 1.0000 3.2470 1.0000 -13.0804 -1.7100 -9.4932 -5.0044 -9.7041 0.8331 -16.7012 -8.0903 -6.6995 -12.8662 -5.8967 -16.5401 -9.0058 -11.1064 -6.7598 -10.0725 -9.7192 0.7665 -14.5677 -7.9697 0.3099 0.2531 0.2852 0.3740 0.4981 0.4365 0.3195 0.2407 0.2919 0.2358 0.2810 0.2205 0.4252 0.4931 0.3908 0.4296 0.2181 0.3924 0.2236 6.3190 1.7223 4.9815 
5.0000 10.0000 8.3400 1.0000 6.0000 8 1.0000 1.0000 1.8380 1.0000 8.1332 -3.4093 11.3018 14.8252 4.6941 5.7313 7.8173 11.4071 9.3851 7.7509 0.2586 8.5245 8.4836 9.6016 4.8769 17.0728 4.9245 16.5567 9.7838 8.9637 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5206 3.3551 
