subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
8.0000 1.0000 9.0000 1.0000 13.0000 2 1.0000 1.0000 4.2800 0.0000 8.8642 7.1188 15.3509 7.0972 7.3382 15.7267 2.7005 7.9290 5.7321 4.7213 4.9201 13.4531 16.1183 8.7640 6.4640 9.8706 -3.1541 16.5130 11.5896 11.4583 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5937 5.8804 
8.0000 2.0000 9.0000 1.0000 8.0000 2 1.0000 1.0000 2.5710 0.0000 8.0825 9.3056 6.6850 6.8103 9.8180 7.7436 10.3851 0.6081 11.7243 11.4669 7.9266 3.1576 8.0736 20.0998 8.7285 4.1298 15.9335 6.0552 20.0602 4.4089 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6379 4.2216 
8.0000 3.0000 -9.0000 1.0000 9.0000 8 -1.0000 1.0000 2.7000 0.0000 -7.6629 -9.3396 -11.6691 -7.9398 -1.1967 -13.0930 -4.3990 -3.4971 -14.6787 -16.3260 -5.9768 -7.7483 -16.7976 -5.3423 -12.7001 -5.0319 -16.1307 -11.3486 -8.2744 0.5120 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5057 4.2175 
8.0000 4.0000 9.0000 0.0000 12.0000 2 1.0000 1.0000 3.7180 0.0000 4.9442 9.2909 10.1248 7.6454 7.5801 8.6761 -1.3667 13.8099 15.8639 5.2934 10.5345 11.3739 10.7115 14.6416 -0.3150 4.4437 11.5866 16.6505 15.1566 4.1628 0.2754 0.2024 0.5183 0.2842 0.2108 0.3192 0.2482 0.4012 0.2952 0.3634 0.4595 0.3584 0.3044 0.2349 0.4796 0.2985 0.3833 0.4562 0.2366 6.3297 1.5459 5.2691 
8.0000 5.0000 9.0000 0.0000 16.0000 2 1.0000 1.0000 5.2810 0.0000 5.6642 7.9508 4.1559 16.9215 11.6897 4.9704 10.5639 9.0798 2.1988 14.1820 6.2258 3.8082 10.9876 10.1667 4.2545 17.1128 14.5510 4.0627 3.6733 17.2661 0.3129 0.2708 0.5123 0.3253 0.2723 0.3527 0.2665 0.4733 0.3922 0.3594 0.3914 0.2337 0.2779 0.3310 0.4664 0.2185 0.3460 0.2792 0.2397 6.3215 1.5180 6.7986 
8.0000 6.0000 -7.0000 0.0000 11.0000 8 -1.0000 1.0000 3.6450 0.0000 -9.9213 -0.2434 -4.5424 -10.8053 -2.1740 -13.1030 -0.6878 3.6477 -14.1525 -8.2971 -5.0073 -9.3653 -8.9229 -5.2531 -6.9783 -16.7430 -4.1392 -8.7429 -8.9959 -3.7594 0.3529 0.3890 0.3220 0.4503 0.4099 0.2800 0.3641 0.2894 0.4342 0.2246 0.3300 0.2128 0.3974 0.5281 0.2546 0.2067 0.2839 0.2312 0.3574 6.3183 1.5804 5.2462 
8.0000 7.0000 5.0000 1.0000 8.0000 2 1.0000 1.0000 2.3440 0.0000 3.3234 -3.0229 14.9441 5.4327 6.8538 7.7478 3.2505 14.6981 5.4084 12.3511 6.5928 7.9872 3.7339 2.1358 3.4060 1.1850 0.1925 -4.6925 3.5678 5.8682 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6498 4.0114 
8.0000 8.0000 -5.0000 1.0000 11.0000 8 -1.0000 1.0000 3.6010 0.0000 -4.3587 7.6255 -5.2063 -6.6295 -4.2500 0.7678 -2.6107 -5.0117 -14.5335 -11.6035 -5.8920 0.0156 -6.9037 -5.1636 -7.1970 -11.2221 -7.3034 -1.0544 0.6027 -8.9898 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4202 5.0350 
8.0000 9.0000 -5.0000 1.0000 12.0000 8 -1.0000 1.0000 3.7150 0.0000 -4.1718 -0.7187 -7.8391 -9.4336 -2.2829 -3.5493 -3.8779 1.8786 -9.1380 -5.0605 -1.5883 -1.9309 -8.7542 -9.5994 -14.0189 2.9213 -11.8165 -3.6719 4.4594 -10.6091 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6900 5.4160 
8.0000 10.0000 -5.0000 0.0000 14.0000 8 -1.0000 1.0000 4.8640 0.0000 -6.6363 -2.6269 -8.9902 -4.8062 0.0813 -1.0466 -12.7833 -6.1688 -10.3946 -4.5101 0.2378 -2.5437 -14.2188 -7.9902 -1.6305 1.5943 4.4054 -7.9972 -1.6891 -10.6556 0.5269 0.2552 0.3769 0.2510 0.3230 0.2062 0.5086 0.2605 0.3466 0.2676 0.3326 0.4785 0.3834 0.4541 0.2141 0.3909 0.2052 0.3261 0.2206 6.3281 1.6744 6.5482 
