subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
16.0000 1.0000 9.0000 0.0000 5.0000 2 1.0000 1.0000 1.2740 0.0000 10.4255 4.3430 14.6711 16.5422 6.7144 6.9757 2.1962 12.0131 10.4534 2.0118 12.5557 9.6170 1.9856 8.7918 10.7764 5.3598 18.2391 2.6216 14.9320 8.1302 0.2887 0.2006 0.2698 0.2301 0.3217 0.3699 0.3263 0.4947 0.2836 0.3459 0.3185 0.3899 0.3016 0.2322 0.2983 0.4121 0.5155 0.3440 0.3854 6.3288 1.7052 2.9911 
16.0000 2.0000 9.0000 0.0000 6.0000 2 1.0000 1.0000 1.7540 0.0000 9.3978 13.0343 7.5354 9.4148 2.9659 14.3907 13.8013 10.8210 11.5060 5.5206 5.5538 5.8017 0.1363 14.3811 15.0232 7.3217 7.9702 0.8334 6.4394 18.5047 0.3693 0.4980 0.2815 0.3180 0.2030 0.3401 0.2016 0.3904 0.3361 0.4414 0.2031 0.5197 0.2316 0.2582 0.3619 0.4913 0.3631 0.3089 0.2189 6.3359 1.7270 3.4878 
16.0000 3.0000 7.0000 1.0000 6.0000 2 1.0000 1.0000 1.7980 0.0000 10.0674 10.0235 5.7431 4.5347 9.1391 13.7422 6.4564 -0.2932 10.6651 9.0556 6.8374 5.6886 1.4809 12.4934 11.9886 17.7578 1.7485 -0.9056 3.2509 1.3217 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6368 3.4487 
16.0000 4.0000 7.0000 0.0000 6.0000 2 1.0000 1.0000 1.9540 0.0000 2.8511 11.0903 13.4201 9.8995 15.2619 7.6266 5.9337 17.6205 4.3460 7.2139 3.7636 3.9688 4.5224 -0.5351 6.1283 6.3203 0.2549 -0.0151 10.0799 10.7981 0.4222 0.3405 0.2627 0.5054 0.2885 0.3989 0.3018 0.2326 0.5311 0.2491 0.2771 0.4094 0.4888 0.2584 0.2327 0.3168 0.2527 0.2061 0.3546 6.3294 1.4176 3.3878 
16.0000 5.0000 -5.0000 1.0000 5.0000 8 -1.0000 1.0000 1.5140 0.0000 -8.7951 -7.7542 -9.1612 -12.9670 -11.4329 4.5378 -7.1995 -11.0327 -5.3435 -3.9490 -3.7628 5.1774 -3.0120 -5.1439 -2.6146 -8.7698 -7.5965 -0.0151 -3.4945 1.4682 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5379 3.0652 
16.0000 6.0000 -5.0000 1.0000 6.0000 8 -1.0000 1.0000 1.6990 0.0000 -8.1446 5.8429 1.3439 -1.3169 -6.6455 -0.6834 -11.3770 -8.1185 -2.5159 -7.1801 -5.4650 -4.7739 -5.7659 -3.0346 -12.9463 -4.3248 2.7190 -8.4281 -13.9468 -6.8170 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5288 3.2335 
16.0000 7.0000 5.0000 1.0000 9.0000 8 -1.0000 0.0000 2.7000 0.0000 0.7935 16.7008 5.2428 2.1394 -3.1747 6.9577 2.8065 4.3342 4.6942 11.7644 10.5749 -1.1016 5.4826 4.0316 2.3282 8.3861 10.8336 -2.5443 6.7554 2.5601 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6142 4.3169 
16.0000 8.0000 5.0000 0.0000 8.0000 2 1.0000 1.0000 2.4820 0.0000 5.9973 4.1268 12.9137 7.2114 1.5355 2.7130 13.0555 1.9823 11.8231 -3.3304 9.0222 7.2210 0.4422 2.0288 9.3418 1.8664 -5.1188 7.6482 5.2781 4.7979 0.2863 0.2307 0.4941 0.5195 0.2655 0.2160 0.4252 0.4843 0.2997 0.2710 0.3753 0.2742 0.3749 0.2864 0.3438 0.2064 0.2998 0.4067 0.2586 6.3183 1.5183 3.9992 
16.0000 9.0000 3.0000 1.0000 8.0000 2 1.0000 1.0000 2.4910 0.0000 5.5997 5.0868 12.3477 9.4419 -7.7082 2.4760 4.6551 -0.9127 9.2583 5.8611 6.6953 1.2172 -0.4144 4.9463 2.6714 -0.9936 0.2800 0.7891 -5.8119 5.7196 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5905 4.0922 
16.0000 10.0000 3.0000 1.0000 8.0000 2 1.0000 1.0000 2.3500 0.0000 0.7695 8.8063 2.7526 7.1303 11.3879 7.3775 5.1860 1.8783 11.7524 3.5742 -1.9242 -6.4215 1.3065 5.3949 -4.7120 3.9864 0.1950 2.0383 -4.5911 3.2980 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6358 3.9839 
