subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
9.0000 1.0000 -9.0000 1.0000 3.0000 2 -1.0000 1.0000 0.9560 0.0000 -10.0244 -7.5296 3.5590 -4.6651 -13.1327 -15.6305 -11.9056 -20.8907 -11.9323 -8.6452 -8.5801 -13.0115 -6.3596 -7.5953 -5.5661 -6.5310 -7.7907 -10.5772 -8.2238 -5.5042 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4078 2.3734 
9.0000 2.0000 9.0000 1.0000 3.0000 8 1.0000 1.0000 0.9560 0.0000 7.5001 8.2423 19.5485 -2.1806 6.7135 6.0723 4.5461 6.3047 12.3088 8.8250 10.3784 7.9273 11.2462 12.6285 5.9684 10.7448 4.3666 11.1834 9.2638 19.8681 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4939 2.4566 
9.0000 3.0000 -9.0000 1.0000 3.0000 2 -1.0000 1.0000 0.9630 0.0000 -5.2981 -8.3563 -0.2983 -7.7563 -2.9659 -4.1654 -17.8351 -11.7075 -10.5837 -17.4685 -1.8227 -16.5268 -8.9939 -10.8823 -10.3467 -13.3383 -10.2409 -7.4876 -3.6948 -11.9047 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5430 2.5141 
9.0000 4.0000 9.0000 0.0000 4.0000 8 1.0000 1.0000 1.1500 0.0000 12.5516 1.4953 4.7332 13.4598 9.1517 7.5537 7.2432 13.5679 -0.8017 4.9567 6.1865 9.3346 8.1208 6.8611 7.0287 21.3179 11.5124 7.3360 16.5327 11.3551 0.2221 0.3920 0.2982 0.3714 0.2710 0.4886 0.2327 0.2715 0.2411 0.4415 0.5072 0.3803 0.2321 0.3981 0.2638 0.3026 0.2580 0.4298 0.3197 6.3219 1.6270 2.7845 
9.0000 5.0000 -9.0000 1.0000 3.0000 2 -1.0000 1.0000 0.7410 0.0000 -10.5822 -18.6535 -14.2989 -7.0825 -12.3655 -6.1758 -6.3746 -7.2830 -5.4600 -13.4680 6.3077 -6.4485 -10.2562 -11.9327 -7.6228 -14.3267 -7.2358 -11.1937 -8.9966 -5.8964 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5290 2.2749 
9.0000 6.0000 -9.0000 0.0000 3.0000 2 -1.0000 1.0000 0.7830 0.0000 -9.9597 -1.2217 -10.9529 2.0676 -13.9832 -10.2116 -13.3987 -17.5107 -12.5637 -9.9439 -7.3347 -8.9416 -11.5491 0.7338 -12.4162 -7.9182 -2.5837 -9.7893 -11.7600 -10.3666 0.3150 0.3984 0.4849 0.2022 0.3035 0.4402 0.2865 0.2014 0.2597 0.2131 0.4048 0.2237 0.3976 0.5155 0.4408 0.3998 0.2844 0.2568 0.3016 6.3299 1.6749 2.4674 
9.0000 7.0000 -7.0000 1.0000 3.0000 2 -1.0000 1.0000 0.8120 0.0000 -8.8909 -3.1859 -6.7515 -3.9918 -8.2536 -11.3143 -15.2940 -10.1605 -2.7292 -1.5094 -6.5888 -5.2593 -13.9267 -4.8740 0.0999 -15.8404 -9.6763 -5.3138 -10.5461 3.1188 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6338 2.4457 
9.0000 8.0000 7.0000 1.0000 3.0000 8 1.0000 1.0000 0.6800 0.0000 4.9690 3.6838 1.9152 -1.7151 2.0241 19.9037 12.0667 15.6869 9.5286 5.8762 9.6889 7.7545 1.1742 7.2127 5.0665 4.6043 4.6483 8.2470 5.8617 11.1253 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5140 2.1978 
9.0000 9.0000 7.0000 1.0000 3.0000 8 1.0000 1.0000 0.7280 0.0000 6.4451 12.2439 7.4307 3.6963 9.3910 -1.4619 11.5047 6.2593 1.3896 8.9732 9.4184 0.6705 -1.8211 8.3139 4.6209 11.1004 13.1727 12.5032 13.0362 1.3501 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6381 2.3623 
9.0000 10.0000 -7.0000 0.0000 3.0000 2 -1.0000 1.0000 0.9600 0.0000 -6.7405 -18.0638 5.3451 -3.6287 -11.4221 -8.0654 -3.6352 -7.5041 -4.4943 -5.7646 -5.6377 -5.7509 -10.9994 -4.5583 -5.0696 -3.6654 -10.3286 -12.3675 -3.7266 -14.5566 0.3302 0.2216 0.4502 0.2379 0.3687 0.4110 0.3812 0.2569 0.5255 0.2873 0.3204 0.2261 0.3859 0.4324 0.2601 0.3736 0.2551 0.3893 0.2049 6.3180 1.6264 2.5946 
9.0000 11.0000 5.0000 0.0000 3.0000 8 1.0000 1.0000 0.7810 0.0000 0.0617 8.7600 10.2087 2.6586 3.0483 14.7164 6.6995 4.1735 6.0983 -3.7977 1.4113 3.3453 8.2115 -0.3596 7.2299 11.1972 -4.6447 9.4486 7.4387 2.3742 0.2421 0.2125 0.4554 0.2301 0.5116 0.3117 0.2861 0.2290 0.3570 0.2497 0.2213 0.2758 0.4041 0.4664 0.3485 0.5181 0.4665 0.2491 0.2864 6.3214 1.5787 2.3650 
9.0000 12.0000 -3.0000 1.0000 3.0000 2 -1.0000 1.0000 0.8890 0.0000 -1.7818 -2.7457 -0.9815 -2.7313 0.6842 -2.7107 -4.6613 6.3789 2.7447 -5.9681 5.5831 -11.1587 -4.5095 -3.3554 -2.2579 -10.9940 0.5383 -8.7505 -2.1203 -10.3396 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4556 2.3560 
9.0000 13.0000 -3.0000 1.0000 3.0000 2 -1.0000 1.0000 0.8230 0.0000 -4.5147 -2.9815 -3.2725 -5.9200 2.8793 -4.6838 -0.1897 5.9994 -5.6479 -13.4017 5.5009 -0.3965 -1.7031 -8.5560 -8.9107 -7.9700 -3.2775 -5.2191 3.8325 -0.9355 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4600 2.3067 
9.0000 14.0000 3.0000 0.0000 5.0000 8 1.0000 1.0000 1.3670 0.0000 2.2617 9.0423 1.7192 3.7354 15.4972 8.5623 10.3239 -0.5459 -3.3565 1.3986 6.5401 -0.7570 -0.7680 3.9306 3.7858 2.0241 -4.9029 -3.0336 2.6211 2.0642 0.3093 0.4573 0.2919 0.2446 0.2833 0.4874 0.3345 0.2176 0.4824 0.3963 0.3070 0.3775 0.2895 0.5221 0.2742 0.2102 0.2442 0.3518 0.2384 6.3194 1.4108 2.7845 
