subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
6.0000 1.0000 -9.0000 0.0000 6.0000 8 -1.0000 1.0000 1.7370 0.0000 -5.5282 -11.5669 -7.0820 -5.0056 -9.9459 -0.5455 -13.0091 -16.6774 -5.8043 -8.9534 -21.7461 -9.8920 -8.5993 -5.7291 -8.4518 -2.5657 -15.6800 -6.0408 -11.4943 -6.2497 0.4584 0.2299 0.4520 0.2534 0.2826 0.2498 0.3570 0.2966 0.3461 0.2148 0.4083 0.3618 0.2403 0.5006 0.4636 0.2070 0.4155 0.3900 0.2064 6.3343 1.4138 3.1546 
6.0000 2.0000 9.0000 0.0000 5.0000 2 1.0000 1.0000 1.5010 0.0000 8.7281 15.8891 12.9649 10.5967 14.2494 6.7477 1.6815 -0.7288 8.8217 1.4050 14.5324 9.2989 6.5155 6.7932 7.6096 19.4989 7.4046 10.6670 7.5811 11.0156 0.2509 0.3379 0.2817 0.3779 0.4777 0.2810 0.4789 0.2850 0.3211 0.3600 0.3891 0.3218 0.2515 0.2062 0.3765 0.3274 0.4477 0.2615 0.2961 6.3298 1.5633 3.0679 
6.0000 3.0000 7.0000 0.0000 9.0000 2 1.0000 1.0000 2.6150 0.0000 2.4023 5.0708 3.6558 13.1299 5.0234 7.3135 4.5725 8.3869 16.7206 -0.7267 2.9957 10.0748 13.8272 10.3863 3.5412 10.6443 -0.9081 13.3097 8.8987 2.7604 0.5224 0.2860 0.2034 0.4020 0.3083 0.2479 0.3191 0.2577 0.3569 0.2865 0.3542 0.5298 0.2851 0.2203 0.3104 0.4875 0.2744 0.2090 0.4733 6.3342 1.6841 4.2994 
6.0000 4.0000 -5.0000 1.0000 5.0000 8 -1.0000 1.0000 1.6310 0.0000 -2.4091 -2.0061 -6.9658 -8.4444 -5.5627 -7.5771 0.0979 -12.2642 3.9737 -2.0139 -2.9247 -2.7002 -13.5302 -9.3967 -8.1777 4.6951 -9.1011 -0.8003 -9.5003 -4.5602 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7093 3.3484 
6.0000 5.0000 -5.0000 0.0000 3.0000 8 -1.0000 1.0000 1.0160 0.0000 -2.8301 -1.6832 -15.3878 -11.7371 -5.5528 -1.3674 -5.0439 0.1191 -7.0730 -2.0146 -5.0834 5.0476 -10.9831 -3.2782 -7.8220 -3.0644 1.5638 -10.9203 -8.5379 -3.0698 0.2802 0.3396 0.4485 0.2504 0.3471 0.2278 0.3866 0.3295 0.2432 0.3769 0.2914 0.3589 0.2083 0.4323 0.3668 0.1999 0.4347 0.5070 0.2974 6.3264 1.7051 2.7167 
6.0000 6.0000 -3.0000 1.0000 6.0000 8 -1.0000 1.0000 1.8540 0.0000 0.9956 1.8730 -6.3034 -7.8522 -6.1691 -0.3336 4.3040 -4.6626 -0.1093 -4.7567 -1.1409 0.2261 -14.3706 -9.3178 -2.9680 -4.9485 -7.5439 6.3838 -1.4592 -0.6320 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5260 3.3885 
6.0000 7.0000 -3.0000 0.0000 6.0000 8 -1.0000 1.0000 1.8690 0.0000 -4.8300 -8.5812 -8.1726 -3.1366 -0.4708 -3.9856 -3.6013 -10.0354 -6.4470 -0.1135 9.3541 -0.6209 -1.1838 -4.8551 -4.4701 -6.4252 -7.9114 7.6969 0.9655 -4.5772 0.4508 0.3138 0.2336 0.2778 0.3200 0.4252 0.3116 0.2433 0.2831 0.3604 0.4955 0.2832 0.5220 0.2988 0.3636 0.3286 0.3014 0.2045 0.3112 6.3285 1.4552 3.3193 
6.0000 8.0000 1.0000 1.0000 18.0000 8 -1.0000 0.0000 5.8740 0.0000 -0.8680 1.6015 3.5901 3.0427 -2.4954 -0.8843 1.0830 4.7078 3.5021 -3.1736 -4.0765 -1.9169 0.3454 -2.8417 6.8886 3.6827 -2.2648 -10.4103 8.4606 12.1400 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5514 7.4420 
6.0000 9.0000 1.0000 0.0000 20.0000 2 1.0000 1.0000 9.4630 0.0000 -3.7396 -3.2673 0.5333 -4.9501 4.6496 0.4795 -1.6418 8.5964 5.8050 4.0353 6.1708 1.7725 3.8937 -2.6570 -2.2208 13.1078 -1.0927 -7.3093 -0.2101 -1.9042 0.5075 0.4806 0.3662 0.2294 0.4985 0.2954 0.3799 0.2623 0.3658 0.2365 0.2929 0.4221 0.3302 0.2147 0.2651 0.3232 0.3749 0.2651 0.2094 6.3196 1.6045 11.0809 
6.0000 10.0000 0.0000 1.0000 20.0000 8 -1.0000 1.0000 6.9420 0.0000 1.0898 2.7835 0.2395 2.9085 7.5246 -8.2686 -0.9909 3.4666 -1.8508 -1.5256 0.5828 6.9640 -5.1946 5.0683 5.6328 -0.3658 -3.2548 -4.9898 -11.4449 0.7759 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4814 8.4261 
