subNo index block level mean periodicity nEvents pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
6.0000 63.0000 1.0000 4.0000 7.2600 1.0000 7.0000 2 1.0000 1.0000 2.3170 6.3482 6.7191 -1.1465 8.5449 1.5299 7.9281 9.8230 9.6028 11.8466 14.6919 1.4347 12.6195 3.1087 7.8196 7.6771 0.6065 7.0560 0.7238 14.8923 13.3662 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5539 3.8679 
6.0000 28.0000 1.0000 4.0000 7.2600 0.0000 7.0000 2 1.0000 1.0000 1.9620 10.9684 -0.5701 14.1366 9.3248 -2.9975 8.7786 9.6531 -3.1794 6.7790 10.5262 4.8559 12.8154 4.3986 11.4430 6.8509 4.8320 8.2655 6.2171 13.1381 8.3541 0.3742 0.3303 0.2946 0.2626 0.3398 0.2794 0.4950 0.4085 0.3162 0.3846 0.2929 0.2347 0.2030 0.3414 0.2080 0.5240 0.3207 0.2441 0.4684 6.3225 1.6908 3.6456 
6.0000 41.0000 1.0000 2.0000 3.6300 0.0000 10.0000 2 1.0000 1.0000 3.3570 -0.0770 -0.0701 3.8020 8.9782 12.3520 9.0059 4.2408 1.0984 1.7946 -7.3751 0.6477 4.5531 0.2739 6.6445 3.9051 2.0320 5.3673 0.1934 14.5667 0.4342 0.4184 0.3490 0.4822 0.3594 0.5261 0.2603 0.2948 0.3828 0.2754 0.2230 0.2977 0.3294 0.2215 0.3650 0.2408 0.3406 0.4730 0.2861 0.2046 6.3304 1.5612 4.9411 
6.0000 11.0000 1.0000 0.0000 0.0000 0.0000 9.0000 8 -1.0000 0.0000 2.4330 -2.2596 -0.9894 7.3071 -1.0788 1.0482 -9.7318 0.1552 -2.8442 -0.2388 7.8030 3.9846 0.9671 2.7521 9.3562 -6.9954 -2.3864 -1.9729 2.4841 -8.0258 0.6364 0.2109 0.3310 0.2357 0.3319 0.4453 0.2418 0.3548 0.2554 0.3303 0.4908 0.4202 0.3194 0.4923 0.3430 0.2427 0.3785 0.3150 0.3535 0.2304 6.3227 1.4169 3.8671 
6.0000 3.0000 1.0000 -1.0000 -1.8150 1.0000 8.0000 8 -1.0000 1.0000 2.4060 0.6891 -8.7507 -4.8817 4.6303 -10.5334 -4.6305 -1.7761 -0.3326 2.5751 -6.0402 3.7474 -5.5214 -3.3556 -7.5295 -7.6466 6.1726 3.1896 1.4382 -0.0990 1.9566 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4773 3.8902 
6.0000 7.0000 1.0000 4.0000 7.2600 1.0000 9.0000 2 1.0000 1.0000 2.8830 2.4192 9.2291 1.4955 4.0316 -3.3252 14.8940 6.4731 8.5459 7.8589 8.6746 4.1263 15.0062 14.7077 6.9111 0.1963 11.5099 11.5046 11.1996 4.9093 6.1394 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4845 4.3832 
6.0000 42.0000 1.0000 4.0000 7.2600 0.0000 6.0000 2 1.0000 1.0000 1.6830 7.6928 15.4810 6.8288 9.8061 8.3404 7.4726 0.0347 12.0868 -0.5505 12.7342 10.8373 12.2224 1.5368 6.6159 8.4534 6.6939 9.4957 -5.0103 8.6759 5.7935 0.2086 0.3050 0.4644 0.2717 0.3768 0.4204 0.2056 0.3573 0.5139 0.2886 0.4321 0.2161 0.3017 0.4632 0.2026 0.2449 0.2856 0.5271 0.2374 6.3230 1.6140 3.3009 
6.0000 39.0000 1.0000 0.0000 0.0000 0.0000 14.0000 8 -1.0000 1.0000 4.7300 -3.5773 -2.1457 -12.4287 -2.4153 2.1402 -1.4711 -0.7817 -1.8933 2.8258 7.3845 -2.3432 -0.2552 -1.8495 -2.2673 7.7475 7.0297 -2.9883 9.5993 -3.1944 0.3294 0.3639 0.2287 0.3949 0.3360 0.4908 0.4613 0.2536 0.2180 0.2892 0.3800 0.2568 0.4603 0.3748 0.2947 0.2010 0.2477 0.3825 0.2919 0.4095 6.3354 1.6267 6.3642 
6.0000 50.0000 1.0000 -4.0000 -7.2600 0.0000 5.0000 8 -1.0000 1.0000 1.7350 -4.4569 -16.7719 1.8975 -7.5407 -6.8858 -1.9345 -5.8293 -3.2290 -13.3611 -9.4407 -13.1539 -4.1851 -9.2500 -6.7179 -6.0714 -15.6851 -0.5179 -4.1348 -4.5371 -12.2687 0.4318 0.2155 0.2718 0.3685 0.4561 0.2023 0.3754 0.2032 0.3143 0.4119 0.2615 0.2289 0.4644 0.3412 0.4404 0.3241 0.2710 0.4802 0.2692 6.3314 1.5613 3.3022 
6.0000 25.0000 1.0000 0.0000 0.0000 0.0000 20.0000 2 1.0000 1.0000 7.5240 -1.5719 -1.5930 -2.1109 -6.1280 -4.8548 -3.0839 1.6574 3.0976 6.9016 -7.8701 7.5053 -0.0770 3.5111 -3.5909 3.0945 7.6653 7.5895 -1.4970 -3.8821 -5.7200 0.2100 0.3750 0.4860 0.2533 0.4313 0.3848 0.2674 0.3282 0.2461 0.4305 0.2552 0.5004 0.3486 0.2339 0.2073 0.4635 0.3090 0.3572 0.2326 6.3204 1.4734 9.0079 
6.0000 62.0000 1.0000 2.0000 3.6300 1.0000 9.0000 2 1.0000 1.0000 2.7840 2.8002 -2.5866 10.9462 -2.4786 5.3287 6.1596 0.5166 3.6793 0.3919 -5.4482 11.5011 7.4393 7.3826 9.7725 1.5844 1.8779 7.5667 -1.0332 -1.9565 7.8692 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5888 4.3684 
6.0000 58.0000 1.0000 -2.0000 -3.6300 1.0000 10.0000 8 -1.0000 1.0000 3.0030 -0.7264 -0.0142 2.4158 -1.0589 4.8773 -8.1975 3.3923 -6.1890 -9.0500 -8.5925 -12.6737 -0.8867 -4.4654 -5.5156 -6.0757 -0.4280 -10.4430 2.3844 -6.1096 -3.9617 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6468 4.6541 
6.0000 64.0000 1.0000 -4.0000 -7.2600 0.0000 9.0000 8 -1.0000 1.0000 2.8670 -5.5786 -8.5889 -6.3142 -3.0312 -7.0725 2.5774 -5.0343 -14.0632 -17.3468 -8.1836 -8.2599 -8.9110 -0.9677 -7.9918 -8.0363 -6.9447 -8.5109 -12.0549 2.5542 -12.0030 0.4132 0.3576 0.3195 0.2498 0.3165 0.2581 0.3382 0.4585 0.3762 0.3492 0.4600 0.2283 0.2808 0.3079 0.2082 0.2818 0.4385 0.3729 0.3189 6.3342 1.7001 4.5850 
6.0000 33.0000 1.0000 1.0000 1.8150 1.0000 11.0000 2 1.0000 1.0000 3.5490 -0.5523 -2.1617 -1.4573 10.8697 -2.6067 2.9192 1.4897 2.5887 4.9808 3.3051 1.3846 10.0678 4.8717 -3.0348 1.8021 12.2072 -3.4815 1.9616 -7.8747 -1.3219 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4557 5.0166 
6.0000 46.0000 1.0000 0.0000 0.0000 1.0000 16.0000 2 1.0000 1.0000 5.1240 1.7127 -2.0563 -5.9675 -4.9547 -5.4722 -6.4228 4.1630 0.5869 1.4629 5.4474 -0.7719 3.7340 2.1260 5.6247 7.7099 4.7979 3.7876 -9.4619 -7.4796 0.7224 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5427 6.6748 
6.0000 48.0000 1.0000 2.0000 3.6300 1.0000 14.0000 2 1.0000 1.0000 4.5340 2.4768 4.8395 -4.7211 10.9519 2.3714 -0.6916 1.3993 10.0756 3.0507 9.7433 0.1889 -2.0002 7.6768 -2.1059 13.3476 10.7000 1.9613 -0.6119 2.6704 2.4061 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5753 6.1182 
6.0000 29.0000 1.0000 -4.0000 -7.2600 1.0000 7.0000 8 -1.0000 1.0000 2.2480 -8.9734 -14.9968 -7.1883 -9.7556 -7.2899 -8.9176 -16.1473 -9.5982 -9.3810 -7.5542 -4.3628 -1.9103 2.6755 -1.4544 -9.6024 4.1570 -7.3575 -6.1901 -10.4454 -9.5043 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6632 3.9150 
6.0000 54.0000 1.0000 1.0000 1.8150 0.0000 14.0000 2 1.0000 1.0000 4.7280 -2.7220 -0.5538 -2.3856 6.7814 4.0419 4.7583 -2.1035 2.6143 3.7190 -4.8602 0.1439 -1.2576 5.5552 7.4285 -2.6068 1.4095 -9.5323 7.7707 8.5579 9.1969 0.5328 0.3375 0.2358 0.2686 0.2161 0.4858 0.2655 0.4193 0.3596 0.2398 0.2988 0.3738 0.2426 0.4917 0.2621 0.2368 0.2117 0.4841 0.3609 6.3232 1.6035 6.3457 
6.0000 47.0000 1.0000 1.0000 1.8150 1.0000 9.0000 8 -1.0000 0.0000 2.9520 3.1811 5.0532 1.2839 -3.9167 -4.3880 -8.2671 3.5260 -5.1953 4.0409 -0.0033 5.6260 4.9955 9.1275 -0.2846 7.6349 -1.5346 -3.8152 2.5953 10.3337 4.9880 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5590 4.5193 
6.0000 15.0000 1.0000 -4.0000 -7.2600 1.0000 5.0000 8 -1.0000 1.0000 1.5640 -8.8314 -9.9088 -4.3014 -6.4302 0.8075 -1.0784 -14.2675 -8.1992 -16.4194 -6.0563 -11.8492 -3.2757 -12.9490 -9.3260 -4.1324 -11.4436 -3.0835 -10.1913 2.7986 -5.7596 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4092 2.9816 
6.0000 61.0000 1.0000 1.0000 1.8150 1.0000 19.0000 2 1.0000 1.0000 6.2020 -0.7151 1.5485 7.1884 -1.9152 -3.0992 -3.1857 -9.9669 -2.7067 7.8651 10.1581 3.2292 -2.8257 5.3508 -0.8477 1.8026 8.6406 1.2731 3.2302 7.9739 1.6705 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4539 7.6529 
6.0000 43.0000 1.0000 -4.0000 -7.2600 1.0000 5.0000 8 -1.0000 1.0000 1.4290 -2.8158 -8.3414 -4.9361 -9.5917 -6.1326 2.0694 -9.3415 -2.3858 -6.4324 0.4113 -8.2355 -12.4314 -2.6460 -9.7211 -14.3197 -14.3761 -6.4250 -5.5052 -17.0914 -7.4668 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4893 2.9128 
6.0000 65.0000 1.0000 -2.0000 -3.6300 0.0000 5.0000 8 -1.0000 1.0000 1.9670 -5.0107 -5.7553 -9.9455 -1.6375 -8.4124 -6.6974 3.4279 5.3172 -3.7456 -3.3100 -2.9278 -7.2911 -3.6506 -9.7053 3.2842 -5.5440 2.7294 0.5741 -1.6625 -12.8763 0.4521 0.3074 0.2657 0.5203 0.4224 0.2605 0.2142 0.4917 0.2742 0.3647 0.3147 0.4288 0.2477 0.2213 0.3300 0.2325 0.3716 0.2353 0.3651 6.3204 1.6900 3.6676 
6.0000 60.0000 1.0000 0.0000 0.0000 1.0000 8.0000 2 1.0000 0.0000 2.5450 3.2745 -5.1175 4.7371 9.3591 -6.8660 4.6043 8.1198 0.1871 0.4084 -4.6983 7.6476 -5.0252 -1.2046 -0.5498 -4.8803 1.7920 -2.5341 -5.0465 1.6260 -5.5532 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6416 4.1954 
6.0000 22.0000 1.0000 -4.0000 -7.2600 0.0000 4.0000 8 -1.0000 1.0000 1.0550 -6.2059 -15.1055 -10.5366 0.1117 -5.7519 -3.4851 -9.7685 -8.0248 -8.0583 -5.1441 -3.0556 -9.3619 3.0737 -1.9967 -10.4762 -6.2821 -13.8310 -4.8286 -8.0842 -16.7971 0.4178 0.2014 0.3221 0.2587 0.2107 0.4314 0.3593 0.4410 0.2072 0.2786 0.4188 0.2718 0.4559 0.2734 0.2270 0.3681 0.4771 0.2697 0.4405 6.3307 1.5972 2.6725 
6.0000 21.0000 1.0000 4.0000 7.2600 1.0000 6.0000 2 1.0000 1.0000 1.8970 10.4054 5.2830 9.3917 9.7357 -0.5489 -0.0220 9.4546 5.4736 6.8144 3.5162 7.5891 6.0286 20.1579 9.6185 10.0545 12.3791 12.6778 0.6567 5.7016 0.7822 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4288 3.3306 
6.0000 5.0000 1.0000 1.0000 1.8150 1.0000 7.0000 2 1.0000 1.0000 2.2530 -0.2413 9.6508 -2.8716 2.6046 5.0528 7.3148 5.0358 7.8166 -0.8218 -3.5518 -7.4148 3.6587 3.5352 4.5867 -0.8021 -1.9895 9.9696 -5.2721 1.7642 -3.4850 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4489 3.7207 
6.0000 10.0000 1.0000 -1.0000 -1.8150 0.0000 20.0000 8 -1.0000 1.0000 6.7210 2.9622 0.7129 -12.4937 -2.0407 0.5341 -4.2541 5.1057 -3.6842 -4.8446 -2.1296 -3.0202 -5.5703 -5.7121 -0.1028 5.4613 -5.5151 -1.8961 8.7167 -9.0413 2.1076 0.3167 0.3808 0.3240 0.4182 0.3172 0.5007 0.2812 0.2235 0.2537 0.5203 0.3169 0.2524 0.3022 0.2692 0.2151 0.4360 0.3207 0.2023 0.4747 6.3259 1.7007 8.4390 
6.0000 49.0000 1.0000 4.0000 7.2600 1.0000 7.0000 2 1.0000 1.0000 2.0130 2.5644 4.5986 1.4341 14.6408 -0.1762 6.4521 -0.5661 7.6243 3.5109 10.2035 10.4892 7.4411 7.6809 3.0307 8.7153 9.7029 18.0750 8.3573 13.9621 7.1699 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6742 3.6970 
6.0000 32.0000 1.0000 0.0000 0.0000 1.0000 8.0000 2 1.0000 1.0000 2.4400 -0.3430 -0.1719 3.6167 5.3188 -3.9141 1.8087 8.1707 -2.6885 -6.3948 4.6934 2.1162 -5.5326 -6.1742 8.3210 1.3922 6.0045 -2.7382 -7.8347 -3.6060 -3.5051 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5049 3.9572 
6.0000 52.0000 1.0000 -1.0000 -1.8150 0.0000 6.0000 8 -1.0000 1.0000 1.9260 2.6547 -10.8896 -2.5818 -0.1062 -8.4395 -3.5279 -3.8548 -2.9476 7.3380 2.3017 -6.9837 -0.5394 -0.5246 -12.8719 0.7582 1.0867 3.1509 -3.2882 -1.1697 3.2290 0.3106 0.4889 0.2692 0.4050 0.3100 0.2088 0.3349 0.4096 0.2365 0.3523 0.5147 0.2435 0.4932 0.2123 0.2881 0.2031 0.5244 0.3008 0.2175 6.3235 1.4764 3.4104 
6.0000 55.0000 1.0000 2.0000 3.6300 0.0000 17.0000 2 1.0000 1.0000 5.2900 4.1224 -1.7561 7.7007 7.2818 0.4270 6.1349 0.5578 -1.7422 3.8488 0.6351 12.6055 -2.4291 8.4940 3.1591 -0.2930 13.5199 1.2055 10.5719 -0.5826 -2.1546 0.3203 0.2900 0.3472 0.2380 0.4997 0.2507 0.3060 0.5030 0.3425 0.3027 0.3358 0.2670 0.3325 0.2499 0.4639 0.2313 0.3298 0.4601 0.2657 6.3359 1.6689 6.9579 
6.0000 4.0000 1.0000 0.0000 0.0000 1.0000 18.0000 8 -1.0000 1.0000 5.8480 -1.5398 6.5832 -1.1562 -2.4838 1.4581 -3.5128 1.8954 2.2035 6.9827 1.2596 -2.6434 -6.4690 -0.3568 5.5051 6.7252 -5.9497 -11.2921 -1.6543 -2.0090 8.2710 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6647 7.5153 
