1	-4	1
2	-2	1
3	-1	1
4	0	1
5	1	1
6	2	1
7	4	1
8	-4	0
9	-2	0
10	-1	0
11	0	0
12	1	0
13	2	0
14	4	0
15	-4	1
16	-2	1
17	-1	1
18	0	1
19	1	1
20	2	1
21	4	1
22	-4	0
23	-2	0
24	-1	0
25	0	0
26	1	0
27	2	0
28	4	0
29	-4	1
30	-2	1
31	-1	1
32	0	1
33	1	1
34	2	1
35	4	1
36	-4	0
37	-2	0
38	-1	0
39	0	0
40	1	0
41	2	0
42	4	0
43	-4	1
44	-2	1
45	-1	1
46	0	1
47	1	1
48	2	1
49	4	1
50	-4	0
51	-2	0
52	-1	0
53	0	0
54	1	0
55	2	0
56	4	0
57	-4	1
58	-2	1
59	-1	1
60	0	1
61	1	1
62	2	1
63	4	1
64	-4	0
65	-2	0
66	-1	0
67	0	0
68	1	0
69	2	0
70	4	0
