subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
1.0000 1.0000 -9.0000 0.0000 7.0000 2 -1.0000 1.0000 2.3330 0.0000 -8.1013 -11.5824 -3.7339 -9.8458 -8.9531 -9.9781 0.6665 -14.6317 -20.7269 -5.8127 -11.8595 -8.6032 -16.7702 -5.2073 -7.1587 -13.1788 -4.1535 -11.2522 -8.9115 -2.1232 0.2003 0.4530 0.4799 0.3733 0.2629 0.2890 0.4519 0.2357 0.4124 0.2639 0.2062 0.4294 0.5154 0.2815 0.2172 0.2891 0.3688 0.2624 0.3371 6.3294 1.5381 3.8676 
1.0000 2.0000 -9.0000 1.0000 8.0000 2 -1.0000 1.0000 2.4570 0.0000 -6.3401 -14.5580 -18.4167 -6.7651 -6.6127 -9.9181 -19.5948 -5.1337 -8.3349 -2.0952 -13.0230 -6.3172 0.2464 -9.1726 -10.1970 -4.8955 -10.2145 -9.6704 -3.9318 -13.8336 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4892 3.9413 
1.0000 3.0000 9.0000 1.0000 6.0000 8 1.0000 1.0000 1.7820 0.0000 10.6808 13.7442 3.8029 6.4768 0.8927 21.0758 12.1421 12.5867 3.7104 3.9769 3.9939 11.8423 9.2286 6.5892 14.0677 8.3487 12.3870 5.4088 14.2121 4.4218 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6681 3.4662 
1.0000 4.0000 9.0000 1.0000 5.0000 8 1.0000 1.0000 1.4500 0.0000 9.7475 16.3636 9.5526 9.1334 3.6813 8.7985 8.7474 9.7065 6.5997 -0.6650 5.3821 -2.1021 9.8208 13.2386 9.3878 17.4222 12.1537 11.1119 14.5917 6.8690 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5186 2.9840 
1.0000 5.0000 -9.0000 0.0000 6.0000 2 -1.0000 1.0000 1.7670 0.0000 -4.3651 -10.6147 -16.6572 -6.8813 -9.4780 -11.5748 2.1695 -10.7045 -12.9908 -5.7040 -14.9948 -11.6602 -13.0192 -17.2619 -0.5541 -8.3002 -4.9266 -8.3074 -9.2352 -5.8623 0.3998 0.3054 0.2726 0.3197 0.4582 0.2060 0.3493 0.4658 0.2535 0.3050 0.3480 0.2769 0.3340 0.3005 0.3850 0.2358 0.2756 0.3968 0.4443 6.3322 1.6337 3.4177 
1.0000 6.0000 -7.0000 1.0000 6.0000 2 -1.0000 1.0000 1.8640 0.0000 -4.2564 -8.6002 -11.7292 -3.7012 -9.2973 -11.9774 -8.5953 -1.4297 3.5323 -6.4232 -6.5171 -6.9918 -14.0047 -2.0600 -8.0599 -6.5154 -12.8902 -2.5843 -2.0771 -16.3521 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6756 3.5485 
1.0000 7.0000 7.0000 0.0000 8.0000 8 1.0000 1.0000 2.5270 0.0000 3.9534 6.3445 3.7438 9.5286 9.2455 16.2140 5.3930 12.3986 8.4723 8.2269 -3.7079 11.5079 -2.1486 6.2088 9.5177 3.2992 1.3600 6.9302 12.7660 9.3880 0.3160 0.4656 0.2163 0.3003 0.4455 0.3088 0.2780 0.2436 0.4081 0.2115 0.3538 0.4722 0.2228 0.2866 0.4004 0.3366 0.3049 0.4601 0.2992 6.3304 1.5521 4.0949 
1.0000 8.0000 5.0000 0.0000 8.0000 8 1.0000 1.0000 2.3210 0.0000 7.8120 8.9797 5.8406 3.2920 0.6232 12.2446 -1.1426 9.4238 3.3083 1.6399 9.6211 -4.7530 2.3292 1.9104 -0.1088 -0.8027 11.6092 9.3070 12.7828 4.8225 0.2400 0.3299 0.3806 0.2972 0.2619 0.3338 0.4019 0.2385 0.2886 0.2084 0.4800 0.2185 0.4181 0.4646 0.2353 0.2983 0.4752 0.2402 0.5165 6.3275 1.4800 3.8052 
1.0000 9.0000 -3.0000 0.0000 9.0000 8 1.0000 0.0000 2.9850 1.0000 0.2629 -4.3113 6.0650 -1.7293 -5.3624 -8.7237 -2.1526 1.9993 -2.8597 -11.2154 2.3517 -4.8332 -6.5202 3.8957 -7.4692 -9.5540 -0.9744 -2.7787 -8.9440 3.9998 0.2159 0.4932 0.3941 0.2396 0.5223 0.2827 0.2307 0.4480 0.4195 0.2856 0.2257 0.3026 0.2092 0.4856 0.2512 0.2162 0.3543 0.2532 0.5053 6.3349 1.4382 4.4357 
1.0000 10.0000 3.9900 1.0000 7.0000 8 1.0000 1.0000 2.0010 1.0000 7.0450 -2.3741 6.8607 12.9096 8.9761 5.6085 4.2887 4.4285 -2.1059 0.0807 10.8576 6.6656 0.3087 -1.1763 13.0957 2.4086 -1.9084 -1.8396 5.7676 -0.6701 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6885 3.7021 
