subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
2.0000 1.0000 9.0000 0.0000 9.0000 2 1.0000 1.0000 2.8320 0.0000 12.5851 8.7530 2.0270 15.7274 10.1503 8.6183 6.0594 8.5125 12.3136 16.4521 6.0301 8.3906 2.9083 10.1932 -1.3843 4.1941 18.9843 6.8049 8.3083 13.4947 0.2240 0.4120 0.2728 0.4539 0.4170 0.2671 0.3468 0.2832 0.3699 0.2260 0.4901 0.2188 0.4571 0.2127 0.4382 0.3162 0.3988 0.3123 0.2167 6.3336 1.7316 4.5660 
2.0000 2.0000 -9.0000 0.0000 5.0000 8 -1.0000 1.0000 1.1910 0.0000 -6.7288 -8.5767 -7.1611 -1.7915 -16.7991 -14.1773 0.3204 -4.3045 -13.9008 -7.0122 -4.2165 -8.7750 -8.0368 -4.2845 -9.0434 -6.3813 -12.8184 -13.0056 -19.2689 -13.3341 0.2208 0.2528 0.4456 0.2463 0.4117 0.3270 0.2957 0.2534 0.3295 0.4880 0.3364 0.4781 0.3553 0.5072 0.4225 0.2066 0.2586 0.2007 0.2963 6.3323 1.6026 2.8084 
2.0000 3.0000 7.0000 0.0000 9.0000 2 1.0000 1.0000 2.8930 0.0000 4.9472 8.3664 9.4455 12.0357 8.1107 3.2813 14.7509 4.2917 -1.7099 13.0556 4.7710 4.3719 11.3620 5.0889 10.6871 2.8754 9.9767 7.1417 -4.2831 11.8891 0.4216 0.2307 0.3157 0.2641 0.5238 0.2492 0.2158 0.4076 0.2721 0.5265 0.2516 0.2156 0.4948 0.3775 0.2510 0.4013 0.2479 0.3858 0.2799 6.3325 1.6941 4.5941 
2.0000 4.0000 -5.0000 1.0000 10.0000 8 -1.0000 1.0000 3.0060 0.0000 -3.5526 -10.9255 -3.6618 -3.8071 -1.5400 -1.2149 -10.3923 -14.1821 -5.9846 -6.2829 -11.2772 -9.4815 -7.2922 -6.0973 5.9545 -4.9649 3.7395 -5.9707 -6.0292 1.2188 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5076 4.5231 
2.0000 5.0000 -5.0000 1.0000 6.0000 8 -1.0000 1.0000 1.7660 0.0000 -5.7205 -6.3548 -3.7340 -3.2519 0.3259 -5.2315 4.2632 -9.8085 3.0282 -5.5302 -12.2231 -11.5099 1.2143 -12.4561 -6.1070 -3.5476 -0.6675 -6.0796 -11.0202 -5.0412 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6087 3.3836 
2.0000 6.0000 -5.0000 0.0000 6.0000 8 -1.0000 1.0000 1.6040 0.0000 -1.0601 -5.3667 0.0296 -8.1887 -2.4656 -16.0324 -9.8877 3.0352 -13.4106 -1.8711 -1.7574 -2.9637 -4.0323 -1.4859 -3.7265 -10.9359 -6.7800 -9.2688 -0.3631 -3.9251 0.2020 0.2289 0.2013 0.3181 0.3786 0.5317 0.2047 0.3855 0.3524 0.2524 0.4508 0.3198 0.5026 0.4262 0.2897 0.2308 0.3933 0.3511 0.3064 6.3265 1.4824 3.0883 
2.0000 7.0000 3.0000 1.0000 20.0000 2 1.0000 1.0000 7.8030 0.0000 6.5399 -8.2267 -0.9642 -2.4203 1.2731 4.4190 8.3866 6.6715 10.7396 3.4925 8.0797 4.2938 -1.1414 7.2760 6.9460 -5.3769 6.2968 2.1579 0.6993 0.7709 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6140 9.4207 
2.0000 8.0000 3.0000 0.0000 6.0000 2 1.0000 1.0000 1.7290 0.0000 5.3551 2.4388 -3.1826 11.9687 0.4294 7.9284 1.8006 8.3390 6.2979 0.5673 2.8394 -3.4404 3.4011 1.3298 6.7793 -3.9418 0.6077 13.6132 -0.7842 -1.6879 0.2083 0.3090 0.2660 0.3013 0.4455 0.4158 0.2782 0.3742 0.4256 0.2586 0.3553 0.2931 0.3779 0.3247 0.2743 0.5110 0.2421 0.3154 0.3457 6.3219 1.6721 3.4129 
2.0000 9.0000 1.0000 0.0000 20.0000 8 -1.0000 0.0000 7.5170 1.0000 -0.2824 -2.9888 -5.7754 12.6292 7.5969 2.1461 1.0825 2.9660 0.9042 -1.5097 0.7770 -6.6065 -4.5454 -0.5025 -6.4657 8.3203 1.7803 2.9420 3.2757 4.3578 0.3207 0.2661 0.3486 0.4550 0.2169 0.2622 0.4270 0.2328 0.3964 0.2022 0.2561 0.2131 0.2639 0.4608 0.2360 0.4019 0.4498 0.5266 0.3890 6.3254 1.4739 9.0014 
2.0000 10.0000 -1.9900 0.0000 20.0000 2 1.0000 0.0000 7.4570 1.0000 -6.1835 -3.3669 7.9169 3.4711 -3.2755 -4.7844 0.0602 -9.3542 -5.1913 4.2237 -1.3083 -0.7747 -11.3893 -2.8006 0.3539 -8.1071 -1.7199 -3.6296 1.2089 6.3800 0.4128 0.2873 0.3553 0.3003 0.2172 0.4808 0.3388 0.3889 0.5250 0.2199 0.3027 0.2136 0.2852 0.4276 0.2500 0.3927 0.2668 0.3949 0.2754 6.3353 1.6519 9.1077 
2.0000 11.0000 -2.9800 1.0000 20.0000 8 -1.0000 1.0000 7.4220 1.0000 -6.1465 -3.3092 -0.0230 5.1015 -11.7192 -7.0285 -2.5000 -1.3243 -8.7305 -0.7923 3.2854 -1.8101 -1.7858 -7.3382 1.8728 5.0115 -7.7148 -8.8225 -6.6052 1.9147 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4224 8.8557 
2.0000 12.0000 -2.9800 1.0000 20.0000 2 1.0000 0.0000 7.0850 1.0000 0.4784 -6.2498 -0.8212 5.4498 1.3087 -4.7533 -4.6821 -0.3361 -9.3104 -4.7152 -3.0644 0.8071 7.0018 -6.5380 -7.6941 -4.7695 -6.8994 -7.4642 -10.0481 4.4454 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5863 8.6859 
2.0000 13.0000 2.9800 0.0000 6.0000 2 1.0000 1.0000 1.5760 2.0000 5.9229 11.4175 1.6403 4.6957 -5.0106 6.9236 11.1055 5.6644 -4.8778 -1.1234 0.4605 5.5538 -4.1600 7.0820 3.9447 4.7591 2.1435 -2.8101 7.8514 -1.0613 0.3193 0.2227 0.2610 0.3142 0.2247 0.4798 0.4111 0.2993 0.2720 0.3278 0.2911 0.4977 0.4220 0.2382 0.2828 0.2076 0.2976 0.5022 0.4588 6.3297 1.5025 3.0939 
2.0000 14.0000 -2.6500 1.0000 6.0000 8 -1.0000 1.0000 1.9730 2.0000 -0.0390 -4.6865 -9.8340 -1.1029 2.9784 -2.7841 1.7685 -2.8884 -10.5218 -2.2943 -4.7095 4.8161 1.3219 -4.8607 -12.1734 -1.8076 -5.1768 6.9496 -1.3059 -5.0160 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5921 3.5742 
