subNo index block level mean periodicity nEvents pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
18.0000 57.0000 1.0000 -4.0000 -9.2000 1.0000 7.0000 8 -1.0000 1.0000 2.0100 -8.7256 -4.0206 -11.9338 0.6647 -17.0614 -5.7080 -12.6822 -7.8708 -11.9366 -6.3301 -9.4571 -18.1645 -11.8117 -10.5255 -12.6290 2.1757 -8.8078 -8.0271 -8.4678 -11.4483 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6693 3.6777 
18.0000 68.0000 1.0000 1.0000 2.3000 0.0000 7.0000 2 1.0000 1.0000 2.5800 -1.9795 -0.1249 9.8651 -3.4447 -0.3594 3.5753 4.4365 -0.9384 1.7117 -1.5316 5.6403 -1.5462 3.2754 11.1720 12.9556 -6.7062 6.3094 0.8533 -0.8215 4.3134 0.2352 0.5127 0.4537 0.4098 0.2506 0.3185 0.4087 0.2299 0.3557 0.3302 0.2188 0.3367 0.2158 0.4168 0.2121 0.2858 0.2250 0.5083 0.4004 6.3249 1.4186 3.9971 
18.0000 69.0000 1.0000 2.0000 4.6000 0.0000 8.0000 2 1.0000 1.0000 2.1900 8.0037 1.6342 4.5786 -1.9061 0.7580 0.6223 8.5077 9.6736 -4.2773 9.0428 8.4669 5.2014 5.2857 7.0913 2.1433 10.4946 -2.7409 14.0630 -1.2994 5.7828 0.3070 0.3905 0.3087 0.2515 0.2155 0.2517 0.4244 0.2183 0.2797 0.4824 0.2602 0.3110 0.2529 0.4067 0.4619 0.3868 0.4925 0.2020 0.4167 6.3203 1.4132 3.6072 
18.0000 3.0000 1.0000 -1.0000 -2.3000 1.0000 6.0000 2 1.0000 0.0000 1.9190 2.0399 4.2464 4.4705 -5.2226 0.7606 -4.8022 -8.7655 -10.1296 4.3817 -1.9922 -9.3143 -0.3701 -0.4053 -4.5574 -1.6424 -2.8046 -9.8879 -5.4794 -4.4056 5.9764 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6366 3.5697 
18.0000 64.0000 1.0000 -4.0000 -9.2000 0.0000 5.0000 8 -1.0000 1.0000 1.6680 -12.5283 -3.5603 -13.8474 -10.8933 -4.4735 -14.2949 -0.0377 0.5807 -18.1877 -8.8401 -13.1332 -5.8299 -11.5359 -8.3371 -10.6876 -9.5565 -4.1960 -10.9689 -15.8614 -8.3163 0.3481 0.4601 0.3484 0.2536 0.5039 0.2101 0.2726 0.4831 0.4182 0.3103 0.2306 0.2776 0.4336 0.3165 0.2255 0.3514 0.2075 0.2942 0.3736 6.3187 1.6425 3.3185 
18.0000 50.0000 1.0000 -4.0000 -9.2000 0.0000 6.0000 8 -1.0000 1.0000 1.9430 -4.2305 -7.9652 -6.7336 -13.4456 -2.9917 -3.8954 -10.7791 -15.8609 -5.8886 -12.2126 -17.4947 -13.9974 -5.5159 -4.8477 -5.0644 -15.9743 -13.0617 -1.4516 -12.4078 -8.5080 0.3378 0.4246 0.2423 0.3282 0.3845 0.4649 0.2112 0.3363 0.2146 0.2483 0.3136 0.4110 0.3294 0.2639 0.3440 0.2290 0.4971 0.3327 0.4137 6.3270 1.7006 3.6609 
18.0000 58.0000 1.0000 -2.0000 -4.6000 1.0000 6.0000 8 -1.0000 1.0000 1.9900 -7.9651 5.5948 -8.5577 -4.3881 -4.3077 -1.2813 -4.8690 -4.7850 -4.0284 -9.5261 -12.3030 -0.3174 -13.2639 -0.4029 0.4100 -0.4758 -9.2808 -3.6085 1.3443 -9.0089 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6091 3.6072 
18.0000 29.0000 1.0000 -4.0000 -9.2000 1.0000 5.0000 8 -1.0000 1.0000 1.5760 -12.1009 -7.6403 -6.4193 -4.5845 -9.2795 -8.9114 -9.2068 -15.3647 -2.6397 -15.3230 -5.6500 -4.8388 -3.1436 -10.9752 -6.9377 -16.0097 -12.5214 -3.9077 -6.5860 -20.8567 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5263 3.1106 
18.0000 70.0000 1.0000 4.0000 9.2000 0.0000 5.0000 2 1.0000 1.0000 1.4950 8.8867 10.1750 12.2964 4.3999 2.7132 4.3740 2.5821 3.8785 17.0696 9.5023 15.5328 9.1058 0.7773 8.4582 11.4797 10.3246 9.6565 11.5125 11.9595 18.9726 0.2295 0.3478 0.3783 0.2412 0.5248 0.2291 0.3361 0.3751 0.3327 0.3953 0.2876 0.3235 0.2952 0.2689 0.4072 0.2458 0.2909 0.5224 0.2995 6.3309 1.5503 3.0626 
18.0000 18.0000 1.0000 0.0000 0.0000 1.0000 8.0000 2 1.0000 1.0000 2.4230 -4.3883 0.0237 -10.6658 5.4922 4.2733 -1.7319 4.0424 0.6826 -0.7988 2.4572 0.0423 0.8345 3.0386 -0.4418 6.2810 -4.8855 -1.6484 -7.4418 -6.5296 9.6005 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7205 4.1568 
18.0000 11.0000 1.0000 0.0000 0.0000 0.0000 7.0000 2 1.0000 1.0000 2.1420 0.9776 -0.0595 2.3267 -5.5857 5.7559 6.8672 -2.1742 6.9029 3.5260 3.3100 -7.1586 7.6535 -1.9041 -5.1376 -6.8597 -4.9024 -0.8914 -3.4027 5.3446 -3.4249 0.3182 0.3584 0.3037 0.2674 0.3207 0.2492 0.3545 0.4832 0.2908 0.3677 0.4011 0.3155 0.2277 0.3029 0.4751 0.2650 0.4173 0.2792 0.3358 6.3333 1.5185 3.6593 
18.0000 24.0000 1.0000 -1.0000 -2.3000 0.0000 4.0000 8 -1.0000 1.0000 1.2550 -5.2021 -5.3027 -4.8358 -3.6721 4.4255 -8.5128 -4.6848 -7.7386 -2.1333 -6.2125 9.1195 7.0763 -3.1200 0.1377 -7.6188 -3.6662 2.1201 1.6701 -6.0163 -2.9964 0.3077 0.2148 0.5060 0.3593 0.2080 0.2468 0.5174 0.2995 0.2521 0.3573 0.2079 0.4834 0.2504 0.2108 0.4383 0.4967 0.2107 0.4399 0.3233 6.3304 1.7242 2.9893 
