subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
4.0000 1.0000 -9.0000 0.0000 3.0000 8 -1.0000 1.0000 0.9480 0.0000 -7.2319 -17.2475 -11.3025 -10.2254 -6.1786 -8.7671 -9.2451 -5.9909 -18.6383 -6.5362 -9.7673 -13.0982 1.8603 -6.7147 -1.7800 -9.5487 -16.8935 -7.7014 -3.8593 -12.4646 0.2801 0.3101 0.4453 0.3654 0.3001 0.3786 0.2068 0.3210 0.4708 0.2586 0.2862 0.2085 0.3779 0.4311 0.2351 0.3295 0.2849 0.3721 0.4631 6.3251 1.4619 2.4150 
4.0000 2.0000 9.0000 0.0000 3.0000 2 1.0000 1.0000 0.9530 0.0000 11.9113 10.4251 10.8843 2.6969 5.3228 11.1089 5.3304 8.2566 8.4781 8.3902 9.5756 15.4375 5.9785 4.7918 19.2745 19.1459 7.0102 4.3420 -0.3320 11.8677 0.4441 0.3162 0.2119 0.4827 0.2894 0.3230 0.2086 0.2945 0.5307 0.3911 0.2516 0.4149 0.3504 0.2704 0.2092 0.3215 0.4076 0.3627 0.2372 6.3176 1.6204 2.5705 
4.0000 3.0000 7.0000 1.0000 3.0000 2 1.0000 1.0000 0.7570 0.0000 9.9685 10.7675 7.7490 2.8680 15.8594 11.6635 5.5012 0.7118 2.3191 3.9609 1.7056 6.7208 5.9214 17.2295 11.4783 13.1276 5.8572 -1.1332 2.8084 5.2136 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6456 2.4081 
4.0000 4.0000 -7.0000 0.0000 4.0000 8 -1.0000 1.0000 1.1510 0.0000 -7.0400 -9.8549 -2.3008 -5.9765 -1.4242 -11.9894 -9.0166 -8.3430 -2.8538 -6.5279 -10.4341 0.6832 -10.3537 -8.9385 -8.5761 0.6135 -6.6192 -18.0696 -0.1054 -12.9786 0.3578 0.4180 0.2411 0.3682 0.2778 0.2501 0.4547 0.3725 0.3066 0.2592 0.3981 0.4571 0.3867 0.2768 0.3132 0.2079 0.2368 0.3089 0.4412 6.3329 1.5302 2.7014 
4.0000 5.0000 5.0000 1.0000 4.0000 2 1.0000 1.0000 1.1150 0.0000 7.2802 15.4388 4.1614 -0.2077 1.3750 2.2155 -2.4394 2.4509 13.0806 3.5606 2.2174 2.6816 8.0138 13.5983 -2.4673 7.5914 5.0502 6.8642 2.8484 6.0922 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5135 2.6489 
4.0000 6.0000 -5.0000 1.0000 4.0000 8 -1.0000 1.0000 1.2240 0.0000 -4.1376 -0.6158 -2.9471 -8.2697 -13.5898 -6.0951 -16.2258 -0.9004 -4.0027 -1.6381 -14.0469 -4.9387 -2.5769 -4.8232 -3.2995 -4.5505 0.9034 4.3513 -7.2192 -6.8615 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4094 2.6411 
4.0000 7.0000 5.0000 1.0000 3.0000 2 1.0000 1.0000 0.9400 0.0000 5.7765 4.8918 2.8436 -6.4616 5.5649 -4.1954 5.9395 0.4297 4.4085 9.7733 -1.9100 11.9252 9.0943 5.0266 6.9287 9.9018 4.3536 11.4824 4.3772 9.1806 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6807 2.6407 
4.0000 8.0000 -5.0000 0.0000 4.0000 8 -1.0000 1.0000 1.1900 0.0000 -3.2131 -11.2058 -11.8141 -4.8319 -9.4064 -2.8214 6.8846 -6.7220 -8.9408 -6.1587 -8.6054 -5.8303 -7.3140 -0.2288 -1.9839 -8.0172 -6.9248 4.1437 1.4721 -8.0165 0.5260 0.2382 0.3610 0.2349 0.3597 0.2353 0.4440 0.2239 0.3319 0.2983 0.4205 0.3269 0.3629 0.2437 0.2765 0.4077 0.2388 0.4356 0.3576 6.3235 1.7272 2.9239 
4.0000 9.0000 3.0000 0.0000 4.0000 2 1.0000 1.0000 1.3320 0.0000 -1.8723 7.2702 -5.4044 5.1573 3.3496 -3.5267 7.7968 8.9851 -8.6759 7.7332 5.3242 4.7872 -1.8794 5.3192 9.2302 6.5689 5.9452 1.1845 -0.2108 3.3031 0.2783 0.2516 0.3060 0.5163 0.3164 0.2269 0.3619 0.4361 0.2131 0.3262 0.2170 0.4749 0.2084 0.5183 0.3144 0.4236 0.3588 0.2171 0.3601 6.3255 1.4154 2.7488 
4.0000 10.0000 1.0000 1.0000 9.0000 2 1.0000 1.0000 2.9840 0.0000 3.4547 -7.3635 -5.4533 2.7889 -0.5109 -2.9975 -0.3254 0.4045 -9.0525 1.7952 11.2199 2.9655 1.9045 0.5027 10.8431 2.0126 0.8542 0.6198 4.7826 2.1157 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4444 4.4352 
4.0000 11.0000 1.0000 0.0000 4.0000 2 1.0000 1.0000 1.1710 0.0000 3.7056 4.4135 10.6480 -5.9037 -5.9211 -8.4146 6.1741 -3.8332 0.8736 2.8198 -3.4387 3.2792 3.8102 2.6899 -0.4250 1.3736 5.0376 2.1875 -6.8181 6.2641 0.2484 0.4375 0.2371 0.4856 0.3157 0.2212 0.2843 0.2067 0.2820 0.4927 0.4486 0.3978 0.2988 0.3768 0.3135 0.3598 0.4072 0.2969 0.2069 6.3173 1.5433 2.7218 
4.0000 12.0000 -0.0000 1.0000 5.0000 2 1.0000 0.0000 1.4280 0.0000 4.6747 5.6802 0.5201 0.9918 -3.0624 -10.3039 -1.8943 3.4579 -8.1240 -5.1855 5.9661 2.2678 1.9164 -6.1221 5.0363 3.8231 0.1903 -6.5846 0.8511 6.4448 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6681 3.0954 
4.0000 13.0000 0.0000 0.0000 4.0000 2 1.0000 0.0000 1.0400 1.0000 2.7866 8.6724 -1.5305 6.6743 0.7082 -4.0733 -2.2337 6.7364 5.1538 -4.6833 -9.4138 -1.6855 1.1975 0.6063 -3.7454 -6.4042 2.9479 4.0357 -7.1070 1.6448 0.3192 0.2552 0.2825 0.3429 0.4047 0.2809 0.5036 0.2224 0.2740 0.4579 0.3256 0.4341 0.2118 0.3241 0.2378 0.3190 0.5058 0.2740 0.3611 6.3365 1.5850 2.6236 
4.0000 14.0000 -0.9900 1.0000 7.0000 8 -1.0000 1.0000 2.2350 1.0000 1.2853 -7.2009 -2.8260 -2.5771 -1.3620 1.2109 6.3429 1.8723 2.7754 -2.0014 -5.5667 -1.1506 -10.1633 -1.8882 -10.2540 -2.6956 5.7030 -1.7766 9.0811 2.5809 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7015 3.9360 
4.0000 15.0000 0.9900 1.0000 5.0000 8 -1.0000 0.0000 1.6510 1.0000 -1.1900 -2.1710 0.3649 -4.3129 -3.4682 -1.6554 -1.6437 8.4463 -6.0292 7.8723 -2.1460 12.1518 -4.8945 5.9371 5.5571 3.7950 -2.6380 3.3658 -2.2205 4.2172 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4606 3.1187 
4.0000 16.0000 -0.9900 0.0000 8.0000 8 -1.0000 1.0000 2.9600 2.0000 -3.2170 -4.3567 -0.6368 6.5935 -2.2837 -4.3275 -6.7545 11.6766 -6.2395 2.0054 4.0525 -2.9936 -0.8861 6.0577 -4.2073 -4.7036 -7.1291 -0.5522 -4.4643 1.1877 0.3292 0.4602 0.5293 0.2251 0.3233 0.3598 0.3171 0.4408 0.4884 0.2451 0.2856 0.3310 0.2538 0.2172 0.2812 0.4760 0.2436 0.2144 0.2969 6.3182 1.5743 4.5438 
4.0000 17.0000 0.6600 1.0000 13.0000 2 1.0000 1.0000 4.3060 2.0000 1.1628 -4.7223 -4.0683 0.8602 13.0898 -5.8191 -1.0158 5.2700 -4.5386 5.2607 1.9377 0.8630 -1.5398 -6.7534 -4.2330 0.8980 4.3517 2.7767 0.6736 8.2219 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4609 5.7900 
4.0000 18.0000 0.6600 0.0000 8.0000 2 1.0000 1.0000 2.6740 2.0000 2.1667 1.4747 -4.6897 3.3648 6.3017 11.7355 0.9423 -6.6577 2.2006 -7.1966 -2.8867 -3.0183 -2.9964 6.8704 -1.3158 7.9970 -3.2720 1.1041 -0.7033 1.5451 0.5155 0.3847 0.5044 0.3541 0.2069 0.3086 0.2423 0.2137 0.4064 0.2299 0.2036 0.2435 0.3415 0.5128 0.2297 0.5065 0.3168 0.2583 0.3445 6.3238 1.5578 4.2415 
4.0000 19.0000 0.3300 0.0000 8.0000 2 1.0000 1.0000 2.6010 2.0000 0.4664 -4.8562 0.9828 7.0110 0.2834 8.3264 7.1875 -8.0246 -4.5160 6.2522 8.0603 -1.6300 -2.7687 -0.9796 -4.5276 4.8041 -0.5580 -3.8492 -0.8283 -2.8748 0.3746 0.4181 0.3888 0.2060 0.3640 0.3901 0.2667 0.3103 0.2128 0.3611 0.4059 0.2229 0.3302 0.4686 0.2297 0.2663 0.3666 0.4726 0.2768 6.3320 1.5621 4.1687 
4.0000 20.0000 -0.0000 1.0000 12.0000 8 -1.0000 1.0000 3.7530 2.0000 -2.5885 -0.4243 -3.0835 6.7092 -2.5294 1.8843 -1.4572 13.2222 -3.8097 -5.9615 -2.0029 2.1089 -8.4707 -1.7369 -2.5031 5.3885 4.1206 2.1449 5.3879 -4.8593 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6535 5.4206 
4.0000 21.0000 -0.0000 0.0000 8.0000 2 1.0000 1.0000 2.3120 2.0000 -0.9799 -1.9270 5.9544 3.9266 5.2197 4.4944 6.3175 2.0540 0.2641 -7.9793 -1.7278 -5.2658 -0.3719 -3.4087 -3.3774 4.6269 6.5113 -3.7094 0.6553 -12.1479 0.3397 0.2978 0.3849 0.3108 0.2602 0.2071 0.3884 0.4923 0.4598 0.2382 0.2727 0.4597 0.2025 0.4845 0.3966 0.2798 0.3274 0.2904 0.2352 6.3281 1.5545 3.8792 
4.0000 22.0000 0.0000 0.0000 10.0000 2 1.0000 1.0000 2.7850 2.0000 -4.3484 0.8442 -8.6303 6.4977 0.0876 -2.0330 7.0078 0.2492 7.9029 2.5344 0.8270 -0.6193 -5.5750 0.3381 -5.8827 -1.0153 2.2979 5.6020 -10.7094 3.7729 0.4142 0.2321 0.2588 0.3183 0.2350 0.3185 0.3452 0.2728 0.2118 0.5264 0.4075 0.3268 0.2494 0.4684 0.2010 0.3129 0.4529 0.2775 0.4937 6.3232 1.6073 4.4022 
4.0000 23.0000 -0.0000 0.0000 8.0000 8 -1.0000 0.0000 2.1680 3.0000 -1.4187 -6.3285 2.4302 -3.5242 -2.9619 7.4002 1.2806 0.6083 -1.2866 4.4673 -6.5180 1.7034 -8.2082 4.1035 9.8540 -6.6256 1.4943 0.3776 6.2397 -1.2960 0.2438 0.3548 0.2917 0.4164 0.2427 0.3362 0.2807 0.4062 0.3119 0.2134 0.4911 0.3555 0.3171 0.2040 0.3808 0.3121 0.5245 0.2089 0.4312 6.3230 1.6387 3.8190 
4.0000 24.0000 -0.9900 1.0000 12.0000 8 -1.0000 1.0000 3.7410 3.0000 -1.2687 -2.6682 -6.8646 -0.7506 -0.9868 7.9320 -8.2214 -6.5231 1.9359 -5.0302 0.2496 -2.8344 -3.6999 -3.8272 5.3302 0.5624 4.7683 9.7534 -0.0625 -6.0199 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6704 5.4085 
