subNo index block level mean periodicity nEvents pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
4.0000 36.0000 1.0000 -4.0000 -4.8400 0.0000 6.0000 8 -1.0000 1.0000 1.6840 -3.6158 3.7721 -10.7167 -4.4961 -6.6443 -4.0065 0.1762 -13.9329 5.9230 -10.2838 -4.1852 0.0250 -7.1748 -9.8227 -2.4983 -6.4306 -11.2530 -5.2779 -3.2914 -4.5903 0.3300 0.2557 0.3508 0.2221 0.2822 0.5300 0.2445 0.4767 0.3541 0.2854 0.2099 0.3901 0.2824 0.2124 0.3973 0.2905 0.4262 0.4818 0.3066 6.3288 1.5270 3.2180 
4.0000 54.0000 1.0000 1.0000 1.2100 0.0000 5.0000 2 1.0000 1.0000 1.7070 5.7266 7.2266 9.8777 -6.6744 2.2410 -0.8751 -3.4005 1.7608 -0.9226 1.8746 -4.6072 2.2173 4.6677 -3.4395 6.6660 0.9556 8.6622 -3.4529 4.7846 -7.1341 0.3354 0.2957 0.3470 0.5115 0.3908 0.2548 0.4463 0.5077 0.3891 0.2554 0.3592 0.2025 0.4123 0.3417 0.2721 0.3071 0.2484 0.2071 0.2347 6.3188 1.4652 3.1744 
4.0000 6.0000 1.0000 2.0000 2.4200 1.0000 5.0000 2 1.0000 1.0000 1.3890 2.1655 4.2303 3.2697 1.2360 8.0469 4.9415 -1.0940 -3.5803 8.8322 2.8819 3.1052 -3.4031 6.8905 -1.5552 0.3194 -10.8211 3.5200 10.7355 5.7923 2.5084 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5561 2.9565 
4.0000 22.0000 1.0000 -4.0000 -4.8400 0.0000 5.0000 8 -1.0000 1.0000 1.4480 -2.4831 -5.2118 -10.3646 -6.0806 -15.7186 0.9535 2.0725 0.9568 -3.7917 -1.4184 -9.5663 1.9554 -11.1887 -9.1437 -0.6749 -9.9732 -4.1184 -5.5121 -3.1956 -3.4271 0.3079 0.2393 0.2738 0.4852 0.4286 0.2625 0.2043 0.3045 0.2337 0.2927 0.3467 0.2188 0.3361 0.3714 0.4258 0.3513 0.4163 0.5199 0.3110 6.3298 1.6245 3.0817 
4.0000 64.0000 1.0000 -4.0000 -4.8400 0.0000 6.0000 8 -1.0000 1.0000 1.5780 -7.9007 -5.9279 -5.0138 -4.9824 -16.2993 -2.3326 4.1344 -4.8714 -2.4086 -10.1167 1.4574 1.4101 -9.5431 -7.6710 -1.9122 -1.2740 -12.7762 -3.7609 -6.3014 -1.6709 0.2717 0.2463 0.3200 0.2067 0.4243 0.4718 0.3557 0.2089 0.2720 0.5131 0.4004 0.2757 0.3583 0.4738 0.2103 0.3562 0.2638 0.2208 0.4783 6.3280 1.6004 3.1783 
4.0000 52.0000 1.0000 -1.0000 -1.2100 0.0000 7.0000 2 1.0000 0.0000 2.3670 -4.1836 2.1408 4.6132 -3.0315 -8.7678 1.7926 -7.4896 -6.2376 -1.3365 4.3426 -6.3660 3.4075 1.3776 3.5626 -0.7786 -8.7626 3.0610 -0.9825 -6.1656 6.8346 0.4308 0.3756 0.2520 0.3641 0.2385 0.4405 0.5142 0.2692 0.4692 0.3164 0.2638 0.3276 0.2271 0.2868 0.3338 0.2495 0.3788 0.2816 0.3159 6.3353 1.6254 4.0013 
4.0000 43.0000 1.0000 -4.0000 -4.8400 1.0000 5.0000 8 -1.0000 1.0000 1.5240 -8.4606 -3.4652 -11.1427 -12.1294 -11.9754 -11.3195 -3.1621 -1.4874 -2.4878 0.0872 -4.0024 -3.0703 -8.6183 -0.3528 -8.2440 -3.8498 -8.8652 -4.6875 4.3250 4.3947 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5740 3.1077 
4.0000 13.0000 1.0000 2.0000 2.4200 0.0000 5.0000 2 1.0000 1.0000 1.6260 -0.6751 9.7559 -5.1915 3.7394 6.4179 -2.6535 10.0551 3.4851 1.5864 8.1188 -5.8919 -0.3627 -0.7490 3.9579 -1.3110 2.1783 -3.1827 8.4997 1.8759 8.3823 0.3735 0.2405 0.3483 0.4869 0.2910 0.2172 0.4927 0.3852 0.2603 0.3028 0.3366 0.2932 0.2339 0.4195 0.2816 0.4207 0.3830 0.2436 0.3169 6.3274 1.7139 3.3438 
4.0000 47.0000 1.0000 1.0000 1.2100 1.0000 5.0000 2 1.0000 1.0000 1.5930 1.8970 -3.2577 2.3185 3.1437 6.2522 -3.8853 -1.9987 2.9234 1.6649 -10.3696 0.0659 6.2003 4.8018 8.8698 0.8484 4.2003 -7.5231 9.0514 1.4969 -1.4798 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5513 3.1435 
4.0000 1.0000 1.0000 -4.0000 -4.8400 1.0000 5.0000 8 -1.0000 1.0000 1.6380 -8.7542 0.7596 0.1315 -13.6448 -0.2944 -9.9151 -8.8502 -2.5673 -2.1285 -11.7146 -3.5043 -6.7177 -7.1543 0.5515 1.4658 1.7302 -2.8492 -8.1691 -1.5221 -12.5006 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6541 3.3058 
4.0000 61.0000 1.0000 1.0000 1.2100 1.0000 5.0000 2 1.0000 1.0000 1.3930 3.7559 0.3057 4.2030 -3.8351 -8.3332 -3.5833 -2.0005 3.7640 12.8221 9.6315 7.2741 -1.2711 0.3075 2.0543 0.5775 -1.4613 -1.6657 3.6787 -0.6180 -2.0929 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4605 2.8766 
4.0000 70.0000 1.0000 4.0000 4.8400 0.0000 5.0000 2 1.0000 1.0000 1.5080 0.1689 -1.8343 1.1453 10.2080 5.8643 11.9045 4.6179 -1.5070 9.4467 0.6278 -0.6588 9.3311 2.1110 5.9823 5.5058 4.7097 16.5883 6.4012 -0.5482 6.0626 0.4414 0.2094 0.2518 0.3849 0.2781 0.2496 0.4157 0.4705 0.2976 0.2132 0.4079 0.3790 0.4559 0.2549 0.2932 0.3978 0.3103 0.3884 0.2198 6.3194 1.6822 3.2090 
4.0000 40.0000 1.0000 1.0000 1.2100 0.0000 6.0000 2 1.0000 1.0000 1.8610 0.4753 7.1416 -0.3661 5.5577 3.6286 -4.9216 -3.7033 -3.7437 0.0409 -4.7397 -3.6767 2.0959 1.0212 -0.7877 5.2815 13.9598 0.4143 -6.0168 4.1715 7.0413 0.5118 0.2111 0.4712 0.2030 0.3065 0.3600 0.2248 0.3717 0.2686 0.3088 0.4862 0.3974 0.2294 0.3127 0.3415 0.5293 0.2539 0.2154 0.3313 6.3345 1.5501 3.4279 
4.0000 4.0000 1.0000 0.0000 0.0000 1.0000 8.0000 8 -1.0000 1.0000 2.6040 -2.3022 -0.2625 -2.0976 4.2537 -7.2869 0.3570 1.0042 2.4106 7.6949 -0.1141 -1.1007 3.4862 6.9934 0.4427 3.7204 -13.4244 0.3282 -4.2433 3.6689 -5.2755 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5503 4.1710 
4.0000 20.0000 1.0000 2.0000 2.4200 1.0000 5.0000 2 1.0000 1.0000 1.3570 1.1351 2.1963 8.0871 0.4372 -1.8361 2.8054 0.7214 -0.0041 -2.8028 -0.2457 -0.3964 0.8502 19.8684 4.2683 1.6844 3.5793 3.1917 -1.5173 -0.1197 6.8435 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5871 2.9577 
4.0000 34.0000 1.0000 2.0000 2.4200 1.0000 5.0000 2 1.0000 1.0000 1.4890 2.8194 -3.2524 3.7748 0.1055 11.2419 1.2411 3.3586 -5.1211 -2.1721 -5.3344 8.1086 1.8418 10.3256 1.9859 3.5524 -0.5886 9.7820 -2.8289 5.9164 2.2204 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6158 3.1065 
4.0000 15.0000 1.0000 -4.0000 -4.8400 1.0000 10.0000 8 -1.0000 1.0000 3.0620 -4.3781 4.8838 -0.8984 -9.8744 -5.0329 -6.0853 -2.3176 0.3083 -12.9357 -13.3148 1.8468 -10.6846 -4.2929 -4.6397 -2.1635 -7.3419 -4.7436 -10.2889 1.7721 -6.0929 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5034 4.5797 
4.0000 35.0000 1.0000 4.0000 4.8400 1.0000 4.0000 2 1.0000 1.0000 1.2900 7.7321 4.9547 4.1392 6.9605 12.3706 13.2167 -2.8266 -3.2238 7.1915 5.7096 7.3437 -0.9065 3.4240 6.4877 0.6480 4.7288 9.2761 8.0274 -5.9539 7.6690 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5197 2.8237 
4.0000 23.0000 1.0000 -2.0000 -2.4200 0.0000 6.0000 8 -1.0000 1.0000 1.9940 -3.0808 -10.0120 -3.2765 -10.0911 -7.9991 -0.1770 0.8452 0.1647 2.6430 2.6659 -0.8723 -5.4278 2.5290 -4.4060 -3.2292 4.6534 2.4620 -9.0677 -8.9117 3.6351 0.3838 0.3356 0.4637 0.2425 0.3667 0.3187 0.2145 0.3025 0.3358 0.2095 0.4730 0.3135 0.4851 0.2906 0.2343 0.2967 0.4413 0.2913 0.3375 6.3367 1.5017 3.4945 
4.0000 33.0000 1.0000 1.0000 1.2100 1.0000 11.0000 2 1.0000 1.0000 3.3990 -2.9994 -5.4569 5.0330 1.9466 -2.9195 1.0204 -2.0845 14.9101 3.5907 -0.3975 -7.2433 2.7599 1.5251 4.9213 -1.4313 5.0666 -4.4734 -1.0663 4.2783 5.3392 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6062 5.0163 
4.0000 46.0000 1.0000 0.0000 0.0000 1.0000 7.0000 2 1.0000 1.0000 2.2730 4.5165 -2.6949 2.0439 -1.7305 -5.6078 3.1336 2.4014 3.9189 7.8349 -5.1584 -2.0852 -9.3985 2.8423 -2.9695 -7.7262 9.3441 2.3836 -1.3908 -2.4132 2.3813 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6786 3.9575 
4.0000 60.0000 1.0000 0.0000 0.0000 1.0000 6.0000 2 1.0000 0.0000 1.9630 1.9422 -1.6057 1.2800 1.6912 7.0153 2.6817 -6.1371 10.7159 2.2440 -4.6506 -0.0475 -1.3008 -8.4669 4.0553 -11.2342 2.1276 0.0115 2.3060 -1.4828 -0.6841 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5829 3.5472 
4.0000 14.0000 1.0000 4.0000 4.8400 0.0000 5.0000 2 1.0000 1.0000 1.4400 4.8183 8.7548 -1.5898 3.4748 0.9754 14.9673 8.4130 -4.4268 3.3040 -0.6687 15.3047 5.4073 3.8000 4.5935 8.4277 1.8326 -1.3225 4.6973 7.7825 7.4106 0.2479 0.3080 0.2083 0.2445 0.4606 0.3814 0.2574 0.3638 0.4814 0.3316 0.3927 0.3160 0.2385 0.5019 0.4307 0.2500 0.3570 0.2540 0.3093 6.3351 1.5012 2.9571 
4.0000 27.0000 1.0000 2.0000 2.4200 0.0000 14.0000 2 1.0000 1.0000 4.7170 -1.8703 4.9319 -4.1308 8.3685 8.6785 4.8871 -9.0526 -1.4599 6.4949 1.2583 6.5012 -1.6446 2.8978 9.6392 6.1396 5.5141 -1.9140 -1.1506 3.5141 -1.0336 0.4098 0.2175 0.3202 0.2058 0.3278 0.4827 0.4367 0.3412 0.4163 0.3504 0.2860 0.2490 0.3446 0.4019 0.3575 0.2664 0.4008 0.3056 0.2005 6.3205 1.4064 6.1347 
4.0000 56.0000 1.0000 4.0000 4.8400 0.0000 5.0000 2 1.0000 1.0000 1.5240 4.1895 4.6408 0.4798 6.4603 0.6427 15.5624 5.9711 9.6788 6.0655 12.5682 5.5115 1.9266 2.2927 -6.1700 7.3179 6.5256 -3.1862 7.9365 3.0814 4.9551 0.5321 0.2352 0.3752 0.3037 0.3522 0.2170 0.2522 0.3892 0.3212 0.2596 0.4648 0.2555 0.4430 0.3135 0.3409 0.2107 0.3416 0.2055 0.5122 6.3253 1.4454 2.9745 
4.0000 31.0000 1.0000 -1.0000 -1.2100 1.0000 5.0000 8 -1.0000 1.0000 1.4370 -5.0190 -0.6772 -1.2500 -1.3547 -8.0881 -3.0045 2.5740 0.1492 -7.2868 5.5789 8.9639 -4.2765 4.0860 0.3891 -8.4857 -2.0883 -6.3478 -5.6647 5.7183 0.5701 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5952 3.0376 
4.0000 58.0000 1.0000 -2.0000 -2.4200 1.0000 10.0000 2 1.0000 0.0000 3.1950 -4.1014 1.4338 6.9749 -5.0169 -3.4598 -0.9771 -2.3890 1.5871 -1.8585 -2.2034 -6.8464 -7.0757 -1.5759 -4.1627 -5.8671 -8.4530 3.8821 8.0820 -4.6924 -12.8362 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5216 4.7288 
4.0000 59.0000 1.0000 -1.0000 -1.2100 1.0000 5.0000 2 1.0000 0.0000 1.4380 2.0987 2.4890 -1.8595 0.8388 -6.5574 -6.9492 -7.6204 -5.3269 0.0927 -2.8053 3.9420 -0.0642 4.2319 6.7024 1.3078 -1.8097 -0.9755 -0.3638 -13.8759 4.2732 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5697 3.0224 
4.0000 7.0000 1.0000 4.0000 4.8400 1.0000 6.0000 2 1.0000 1.0000 1.9810 2.1365 -0.2456 1.2037 8.3103 2.0696 11.7564 -3.7578 9.4011 4.1368 10.2721 13.3643 5.9597 -0.0991 3.8465 6.6991 -5.4429 6.2628 11.1929 2.8306 5.5612 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4910 3.4816 
4.0000 67.0000 1.0000 0.0000 0.0000 0.0000 9.0000 2 1.0000 0.0000 2.4950 3.1469 1.1467 -0.9522 7.5934 7.4507 -1.2289 -7.1041 6.3225 -8.1275 -0.0653 -0.5308 3.6062 -4.8518 2.8534 -7.8761 -0.9247 3.5943 0.7600 -7.8487 1.5963 0.2871 0.2350 0.3680 0.2142 0.3328 0.2369 0.3641 0.3189 0.2354 0.4731 0.4329 0.3416 0.3034 0.2732 0.3535 0.4600 0.3722 0.3197 0.4045 6.3264 1.4874 3.9961 
4.0000 26.0000 1.0000 1.0000 1.2100 0.0000 10.0000 2 1.0000 1.0000 3.2890 4.2248 0.0833 -2.2800 1.7159 -3.4221 -1.1119 -3.6467 4.7518 10.8986 -0.5466 3.2780 -2.4360 -5.0395 -2.1315 -2.5604 12.6074 4.3843 5.1179 5.4702 -4.9017 0.2809 0.2309 0.5188 0.3648 0.3215 0.4758 0.2381 0.2840 0.4009 0.3226 0.4578 0.2433 0.3944 0.2415 0.2070 0.2857 0.4152 0.3885 0.2530 6.3248 1.7027 4.9902 
4.0000 50.0000 1.0000 -4.0000 -4.8400 0.0000 6.0000 8 -1.0000 1.0000 2.0430 -3.9989 -1.5724 -2.9919 -7.0087 -1.2087 -5.9154 2.4723 -4.5194 3.0131 -8.0897 -16.6906 -9.4653 -0.8667 -13.7278 -7.2756 -4.1431 2.2798 -8.0354 -3.1867 -6.2836 0.3303 0.4994 0.2250 0.4260 0.2731 0.3504 0.3157 0.4328 0.2439 0.3999 0.3723 0.3194 0.2290 0.3924 0.2062 0.5095 0.2090 0.2584 0.3438 6.3365 1.6259 3.6769 
4.0000 9.0000 1.0000 -2.0000 -2.4200 0.0000 13.0000 8 -1.0000 1.0000 3.7100 -7.2684 -6.1505 -1.2520 2.5693 2.4225 3.0041 -4.5552 -5.3422 -2.3277 -5.4351 -7.9471 4.9121 -6.4760 -2.9621 -11.1030 4.7441 -4.7734 -9.2456 2.7194 4.2700 0.3999 0.3288 0.2253 0.3099 0.3493 0.3133 0.2660 0.3240 0.3575 0.3063 0.2748 0.2056 0.3756 0.2827 0.4698 0.3564 0.3134 0.4048 0.4690 6.3325 1.4389 5.1444 
