subNo index mean periodicity nEvents pressedKey answer isCorrect rt reversal s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
17.0000 1.0000 -9.0000 0.0000 6.0000 2 -1.0000 1.0000 1.9240 0.0000 -12.5017 -20.5750 -8.2259 -7.6035 -10.9495 -6.8577 -9.1420 -8.4843 -15.9466 -13.5654 -1.8906 -13.7241 -10.6176 -2.4908 -3.6569 -6.0061 -10.0734 -0.2328 -9.5844 -7.6470 0.4195 0.2972 0.3271 0.4094 0.3191 0.3907 0.2443 0.3984 0.3203 0.2769 0.4414 0.3055 0.2163 0.2702 0.2130 0.5136 0.4477 0.2365 0.2882 6.3354 1.7152 3.6419 
17.0000 2.0000 -9.0000 0.0000 4.0000 2 -1.0000 1.0000 0.8550 0.0000 -7.0288 -12.7831 -5.5328 2.8712 -3.7886 -18.2274 -5.1871 -3.5627 -12.0179 -9.6661 -5.2075 -13.6670 -10.2412 -11.0189 -6.2845 -10.4982 -12.2325 -12.8604 -8.0030 -16.2194 0.2382 0.3438 0.2166 0.2841 0.4469 0.3636 0.2063 0.3140 0.4333 0.5155 0.2133 0.4627 0.2124 0.3378 0.3853 0.2757 0.3737 0.2577 0.4431 6.3241 1.6409 2.5055 
17.0000 3.0000 7.0000 0.0000 4.0000 8 1.0000 1.0000 0.9560 0.0000 9.6898 6.1826 9.9240 10.6026 7.9161 10.9869 -3.3134 10.5396 5.2864 13.6015 2.4120 10.4462 6.4739 13.2933 11.6280 1.0173 8.0694 4.7890 -4.5273 3.8506 0.2581 0.2182 0.3656 0.4545 0.2460 0.2775 0.4133 0.2816 0.3407 0.3918 0.3154 0.5105 0.2633 0.3129 0.4998 0.4054 0.2271 0.2988 0.2398 6.3201 1.5946 2.5570 
17.0000 4.0000 -5.0000 1.0000 5.0000 2 -1.0000 1.0000 1.3640 0.0000 -9.8262 -1.3110 -3.2187 0.9271 2.8530 -3.1638 -12.7038 -7.0857 -9.9746 -4.2567 -6.6206 -2.1920 3.6036 -10.7201 -4.0899 -1.5106 -7.8421 -1.4708 -7.0104 -14.6444 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4348 2.7984 
17.0000 5.0000 5.0000 0.0000 3.0000 8 1.0000 1.0000 1.0730 0.0000 7.2396 12.2599 8.5379 9.8410 6.3437 -0.3881 9.4132 -1.6322 -5.3561 1.3469 2.8255 0.2806 3.3593 8.3228 7.5086 10.8267 -1.4073 4.3994 3.9045 11.8899 0.4624 0.4307 0.3615 0.2462 0.3739 0.3251 0.2807 0.4170 0.2146 0.3020 0.3934 0.2927 0.2274 0.3750 0.2896 0.4375 0.3338 0.3061 0.2515 6.3210 1.6663 2.7408 
17.0000 6.0000 -3.0000 1.0000 5.0000 2 -1.0000 1.0000 1.6510 0.0000 -2.3690 -1.9713 -8.6949 -2.1398 -4.2784 -5.4087 -1.2967 -12.2940 3.1402 0.6057 1.4301 4.9556 -6.0735 -1.9804 -8.3377 -2.3234 -8.2360 -10.6253 3.6552 3.0060 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4393 3.0852 
17.0000 7.0000 -3.0000 0.0000 5.0000 2 -1.0000 1.0000 1.7250 0.0000 -5.7132 -7.4965 -8.4713 -7.4344 2.4503 -0.5405 -11.4685 -5.2075 -4.0234 -5.4656 -6.7933 -4.0033 3.5119 1.6191 4.0230 1.2906 -7.7971 5.8288 -4.0130 1.1026 0.2034 0.3809 0.4394 0.2706 0.4385 0.5140 0.2943 0.4346 0.2447 0.2145 0.4260 0.3399 0.2451 0.3366 0.4863 0.2352 0.2851 0.2192 0.3249 6.3330 1.6272 3.3591 
17.0000 8.0000 -1.0000 1.0000 7.0000 8 1.0000 0.0000 2.2270 0.0000 1.9632 -1.7146 5.4570 -7.0888 -1.0457 2.9671 -1.3370 0.6774 3.0419 -4.0100 -6.6861 -1.0219 -9.7165 3.2189 0.6748 -9.5422 -4.8870 4.8142 -2.2608 8.3122 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5676 3.8115 
17.0000 9.0000 -1.0000 0.0000 10.0000 2 -1.0000 1.0000 2.9830 0.0000 -0.1141 -2.2729 4.3280 1.1352 -2.9566 0.5438 -16.0022 -4.6777 -4.4374 4.1439 -4.1766 -0.6280 5.9084 0.7330 3.3568 -6.2469 1.5150 4.4597 -5.9790 1.1142 0.3949 0.2604 0.5167 0.2429 0.3112 0.2051 0.3262 0.2319 0.4339 0.2787 0.4691 0.2274 0.3089 0.4217 0.3387 0.4660 0.3410 0.2593 0.2858 6.3196 1.5499 4.5504 
17.0000 10.0000 -0.0000 1.0000 9.0000 8 1.0000 0.0000 2.9930 0.0000 1.2891 -2.4510 -3.4212 -9.8272 -3.4344 0.6788 -1.2169 1.5435 3.4878 -2.6080 1.3367 -1.2982 3.2974 -2.4146 5.5396 -8.9543 -0.6663 2.8660 6.1087 11.7960 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5895 4.5940 
17.0000 11.0000 -0.0000 1.0000 9.0000 2 -1.0000 1.0000 2.9070 0.0000 -0.2900 -2.8818 -4.4988 -1.2584 -4.1282 -3.5572 -6.4806 -9.9243 6.5497 -0.2835 5.7162 -3.9662 0.8867 -0.3860 0.8950 9.5635 5.1351 3.6403 1.2693 5.9547 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4310 4.3576 
17.0000 12.0000 -0.0000 0.0000 12.0000 8 1.0000 1.0000 3.7840 0.0000 -0.5650 4.7296 8.1255 2.2813 -4.0703 3.1854 -1.3232 5.1252 -2.9105 1.2145 -3.4881 -0.9096 -1.2789 2.4052 1.6039 -11.6347 -3.7475 -4.0018 10.7051 -4.7136 0.3992 0.2390 0.3891 0.5068 0.3334 0.2390 0.3955 0.3134 0.2121 0.3752 0.2945 0.2421 0.3213 0.2795 0.4098 0.2005 0.4925 0.2815 0.4092 6.3337 1.6486 5.4351 
