subNo index block level mean periodicity nEvents pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
19.0000 40.0000 1.0000 1.0000 1.0750 0.0000 1.0000 8 1.0000 1.0000 0.1090 -1.5308 8.9130 -8.3093 0.6243 6.5333 6.1370 1.3393 -7.6226 0.5806 2.1364 6.6000 3.5360 2.5595 -2.2018 1.4428 -3.8872 -0.8737 -1.0153 10.6991 -3.3125 0.4244 0.5259 0.2205 0.2764 0.3025 0.2590 0.4687 0.2043 0.3479 0.3172 0.2332 0.3201 0.4882 0.3086 0.4246 0.2260 0.2573 0.3490 0.3753 6.3288 1.5501 1.6759 
19.0000 62.0000 1.0000 2.0000 2.1500 1.0000 6.0000 8 1.0000 1.0000 1.9080 3.8671 -0.5042 8.7261 1.3590 3.6107 2.8424 -1.3929 6.9040 2.6820 8.2588 -3.0515 -0.5138 4.1188 -1.2366 -5.8198 -4.1246 10.6884 5.8699 -6.8990 5.7858 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6565 3.5752 
19.0000 8.0000 1.0000 -4.0000 -4.3000 0.0000 7.0000 2 -1.0000 1.0000 1.9250 -2.1490 -5.1964 2.8472 2.9571 -9.4026 -7.4655 -0.6992 -2.2530 -6.3447 -6.8120 -9.5611 -6.0987 -10.4245 -3.7604 4.6003 -5.6050 4.9999 -9.9709 -3.8422 -10.3989 0.2428 0.3855 0.4969 0.2141 0.3356 0.2453 0.2192 0.4685 0.2004 0.3896 0.3200 0.4517 0.3278 0.5238 0.3022 0.3463 0.2199 0.3002 0.3292 6.3190 1.6282 3.5593 
19.0000 65.0000 1.0000 -2.0000 -2.1500 0.0000 12.0000 8 1.0000 0.0000 4.1410 -3.8084 -12.0157 -4.7056 1.8809 1.1855 -8.3654 -4.4264 -0.4846 3.6220 -1.4713 10.4217 -5.7841 -6.6390 -6.8786 -0.1737 1.6612 -1.8270 -0.8915 0.5082 -3.8572 0.4111 0.3213 0.2437 0.2994 0.4608 0.3281 0.2595 0.3747 0.4507 0.2344 0.3807 0.4517 0.2208 0.3068 0.2809 0.3494 0.2188 0.4351 0.3013 6.3290 1.5866 5.7412 
19.0000 7.0000 1.0000 4.0000 4.3000 1.0000 5.0000 8 1.0000 1.0000 1.5690 2.2477 6.3649 2.7916 0.0184 14.6034 -0.2710 6.3769 -3.6911 9.6459 9.9981 2.7851 6.8446 -3.6913 7.8881 -2.1054 8.4622 5.1757 0.2428 4.9087 8.5756 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4321 3.0035 
19.0000 37.0000 1.0000 -2.0000 -2.1500 0.0000 4.0000 2 -1.0000 1.0000 1.5120 -4.8349 -0.5210 -4.3526 -5.1045 4.3922 -6.2505 -1.1683 8.0943 -5.2716 3.9104 -5.6519 -2.6445 1.1634 -10.6527 -6.1357 2.7805 -0.3143 4.2007 -9.1235 -6.6470 0.4196 0.5031 0.2283 0.4082 0.2046 0.2682 0.2983 0.3823 0.2603 0.3613 0.2923 0.3318 0.2968 0.5285 0.2162 0.2572 0.4545 0.2185 0.4053 6.3350 1.6690 3.1797 
19.0000 23.0000 1.0000 -2.0000 -2.1500 0.0000 17.0000 2 -1.0000 1.0000 5.7070 -5.4932 -1.0304 3.6300 -1.4262 -3.9407 0.4122 4.8058 3.4331 3.8373 -7.4802 -7.7884 -13.0967 5.4729 -6.1341 -2.4919 -5.3170 1.5820 -5.7373 -5.4675 -2.6041 0.2483 0.4653 0.3514 0.4739 0.3115 0.3594 0.3963 0.2148 0.2456 0.4294 0.2921 0.4059 0.2876 0.2528 0.4220 0.3831 0.2591 0.2123 0.3078 6.3188 1.5415 7.2582 
19.0000 47.0000 1.0000 1.0000 1.0750 1.0000 3.0000 8 1.0000 1.0000 0.9960 -0.0074 1.5936 5.7279 5.2305 4.2330 -7.0148 1.6997 -0.0470 3.1127 -0.9587 5.4412 -4.6375 10.4897 -4.6449 -5.1644 -7.1389 4.8893 6.6451 4.9764 -2.1723 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4858 2.4804 
19.0000 66.0000 1.0000 -1.0000 -1.0750 0.0000 11.0000 2 -1.0000 1.0000 3.4060 -2.0039 -3.2811 -6.5051 6.7159 -3.0835 2.8485 2.7294 -9.2403 0.1232 3.0638 -6.8065 -6.8429 -2.4061 7.1036 0.0730 2.8935 5.1848 -8.0960 0.9948 -4.1262 0.3628 0.2471 0.4164 0.2603 0.2003 0.2462 0.2918 0.3483 0.2119 0.3927 0.4962 0.2929 0.5215 0.2782 0.4143 0.5295 0.3154 0.2814 0.2193 6.3265 1.4846 4.9063 
19.0000 44.0000 1.0000 -2.0000 -2.1500 1.0000 5.0000 2 -1.0000 1.0000 1.6600 -5.2947 3.2408 -0.5640 -5.5042 -5.7705 0.2836 -4.2372 -2.1384 2.3396 -8.7616 7.5320 -0.0130 -4.6320 -1.0660 -10.3227 -1.5355 -1.1109 -0.6020 5.9958 -11.6147 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6675 3.3439 
19.0000 25.0000 1.0000 0.0000 0.0000 0.0000 17.0000 8 1.0000 0.0000 5.5150 -1.8276 -0.2049 -6.4813 8.2868 -6.6453 8.9812 -0.6224 -1.4164 1.6821 -0.2161 -0.4745 0.6030 1.4795 3.4801 -0.0168 -6.3001 -11.1726 1.8641 4.9054 3.2438 0.2971 0.2092 0.4968 0.2139 0.4063 0.2373 0.2906 0.3207 0.3951 0.5016 0.2141 0.2433 0.4691 0.2370 0.4736 0.2227 0.3412 0.3128 0.4525 6.3348 1.5183 7.0489 
19.0000 56.0000 1.0000 4.0000 4.3000 0.0000 6.0000 8 1.0000 1.0000 2.0030 0.4641 5.9189 4.0510 13.1088 -2.6296 2.6385 -0.2381 -5.4674 3.1351 1.6452 12.4879 2.6082 5.5319 6.9893 6.6619 3.1496 11.9105 1.4218 0.0126 11.6255 0.4267 0.3123 0.2803 0.3734 0.4453 0.2418 0.3876 0.2183 0.4141 0.4992 0.2696 0.3510 0.2713 0.3038 0.2272 0.2706 0.2216 0.4639 0.3509 6.3288 1.5203 3.5373 
