subNo index block level mean periodicity nEvents pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
11.0000 18.0000 1.0000 0.0000 0.0000 1.0000 8.0000 8 1.0000 1.0000 2.5250 -1.8565 -1.7532 10.6003 -3.1580 -0.0766 -3.3771 -3.7681 1.1135 5.2330 -2.9325 3.7255 10.3272 -10.3445 -3.8138 0.2598 2.4744 3.6143 1.7165 -1.2418 -6.0278 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6144 4.1423 
11.0000 35.0000 1.0000 4.0000 5.6200 1.0000 4.0000 8 1.0000 1.0000 1.0650 5.4601 1.6935 14.1875 5.7631 -4.5131 3.7258 7.6137 4.2974 7.2207 -0.4484 7.4155 10.2109 9.5487 2.1019 -0.8991 4.6946 0.3079 13.6659 9.2304 9.5627 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.7287 2.7995 
11.0000 22.0000 1.0000 -4.0000 -5.6200 0.0000 4.0000 2 -1.0000 1.0000 1.2430 -6.5926 -2.8774 -3.5894 -5.6369 -8.7089 -10.6121 -6.4359 5.9667 -9.5000 -5.7772 -6.7116 -5.8880 -2.0322 -4.5768 -10.2829 4.4701 -10.3383 -13.5510 1.2793 -10.5694 0.2686 0.3881 0.2534 0.3425 0.4573 0.4839 0.4215 0.2183 0.4238 0.2039 0.2330 0.5081 0.2364 0.3978 0.2104 0.2982 0.3363 0.2120 0.4323 6.3257 1.4356 2.6937 
11.0000 53.0000 1.0000 0.0000 0.0000 0.0000 5.0000 8 1.0000 0.0000 1.3360 3.2529 2.4067 -0.3632 7.2456 2.9599 -5.9334 5.0026 -9.6321 -5.3208 4.2379 -7.4056 -4.5255 2.8242 -2.5080 0.9515 3.2389 0.2061 4.6511 -7.0511 5.2594 0.2402 0.4782 0.3548 0.2272 0.4728 0.4034 0.2041 0.2965 0.3578 0.2244 0.5030 0.2542 0.4461 0.3083 0.4266 0.2196 0.2791 0.3398 0.2860 6.3221 1.4385 2.7863 
11.0000 38.0000 1.0000 -1.0000 -1.4050 0.0000 6.0000 2 -1.0000 1.0000 1.7140 -5.9272 4.7854 -10.1998 0.4810 -11.1976 2.7924 -10.6771 0.9237 -1.1547 1.7160 5.8219 -2.2711 -4.3494 1.6447 -1.5515 1.7302 -5.0979 1.5461 4.3442 -2.1494 0.2309 0.4503 0.3239 0.3763 0.3146 0.2039 0.3814 0.2022 0.3611 0.2793 0.4301 0.5223 0.3947 0.3239 0.2275 0.5070 0.2027 0.3173 0.2820 6.3314 1.4919 3.2149 
11.0000 24.0000 1.0000 -1.0000 -1.4050 0.0000 6.0000 2 -1.0000 1.0000 1.8150 -0.8479 -1.0693 -2.3651 0.6605 1.8699 -5.3422 -10.7388 -2.7011 4.0103 8.4761 5.9962 -9.5175 -6.5486 -3.1341 2.0929 2.0834 0.8622 -0.2904 -6.1513 -6.4539 0.3249 0.5299 0.2841 0.2435 0.2018 0.4301 0.2087 0.4839 0.2715 0.4052 0.2144 0.2670 0.3978 0.3491 0.2236 0.3779 0.4861 0.2627 0.3588 6.3212 1.4706 3.2822 
11.0000 1.0000 1.0000 -4.0000 -5.6200 1.0000 3.0000 2 -1.0000 1.0000 0.9180 -4.8938 -6.2256 1.1847 -7.6147 -6.1633 -3.9859 -11.3381 -7.2127 -7.0871 -1.0421 0.5812 1.1479 -1.8691 -10.3614 -4.8425 -0.1135 -13.8514 -2.7885 -8.1142 -17.1838 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5603 2.4858 
11.0000 43.0000 1.0000 -4.0000 -5.6200 1.0000 3.0000 2 -1.0000 1.0000 0.8020 -9.2627 -2.6469 6.6714 -8.5211 -8.4066 -11.7029 -5.1858 -5.5940 -11.3829 -5.5760 -2.7011 -4.7810 -11.1401 -8.8019 -3.2220 -13.7694 -3.2964 3.8340 -6.9001 -1.8422 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4107 2.2198 
11.0000 61.0000 1.0000 1.0000 1.4050 1.0000 3.0000 2 -1.0000 0.0000 0.8040 -2.7928 -6.3098 13.2570 6.0873 2.5875 -4.2170 0.1913 -0.2059 8.5853 3.6756 -4.9583 -3.2618 0.3891 1.7891 7.9808 1.4924 2.6680 3.4104 -0.9236 -3.2542 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6074 2.4052 
11.0000 64.0000 1.0000 -4.0000 -5.6200 0.0000 4.0000 2 -1.0000 1.0000 0.9290 -4.7852 -5.8945 -9.8150 -12.7996 -2.7605 -4.6617 -16.5143 -8.3027 -2.6868 -8.9181 -3.3291 2.0250 -10.9760 0.0094 -2.4074 -0.2430 -6.4803 -9.3346 -6.2335 2.9445 0.2694 0.2408 0.4164 0.3525 0.4656 0.3544 0.2156 0.3893 0.4156 0.2288 0.2652 0.4416 0.3126 0.3589 0.2379 0.4569 0.2525 0.4237 0.2297 6.3275 1.6980 2.6299 
